iso_code,country,date,owid_total_cases_per_million,owid_total_tests_per_thousand,owid_positive_rate,owid_population_density,marioli_effective_reproduction_r,sdsn_new_cases_per_million_smoot,sdsn_new_deaths_per_million_smoo,sdsn_effective_reproduction_rate,sdsn_overall_transmission
ABW,Aruba,2020-11-22,,,,,,,,,
ABW,Aruba,2020-11-23,,,,,,,,,
ABW,Aruba,2020-11-24,,,,,,,,,
ABW,Aruba,2020-11-25,,,,,,,,,
ABW,Aruba,2020-11-26,,,,,,,,,
ABW,Aruba,2020-11-27,,,,,,,,,
ABW,Aruba,2020-11-28,,,,,,,,,
ABW,Aruba,2020-11-29,,,,,,,,,
ABW,Aruba,2020-11-30,,,,,,,,,
ABW,Aruba,2020-12-01,,,,,,,,,
ABW,Aruba,2020-12-02,,,,,,,,,
ABW,Aruba,2020-12-03,,,,,,,,,
ABW,Aruba,2020-12-04,,,,,,,,,
AFG,Afghanistan,2020-11-22,1148.418,,,54.422001,1.2246481,4.673357,.22928572,1.2353785,
AFG,Afghanistan,2020-11-23,1155.662,,,54.422001,1.2228709,4.9375715,.22928572,1.2349908,
AFG,Afghanistan,2020-11-24,1160.4399,,,54.422001,1.2202905,4.9742856,.24764286,1.2341212,
AFG,Afghanistan,2020-11-25,1165.834,,,54.422001,1.2164973,5.0917859,.26414287,1.2328016,
AFG,Afghanistan,2020-11-26,1171.3831,,,54.422001,1.2129221,5.1468573,.26228571,1.231053,
AFG,Afghanistan,2020-11-27,1174.543,,,54.422001,1.2101552,5.0532856,.26042858,1.2290924,
AFG,Afghanistan,2020-11-28,1177.651,,,54.422001,,5.1542144,.26407143,1.2284606,
AFG,Afghanistan,2020-11-29,1184.6379,,,54.422001,,5.277143,.28242856,1.2275114,
AFG,Afghanistan,2020-11-30,1188.697,,,54.422001,,5.1487141,.29342857,1.2263222,
AFG,Afghanistan,2020-12-01,1200.077,,,54.422001,,5.5707145,.28607142,1.2247568,
AFG,Afghanistan,2020-12-02,1206.833,,,54.422001,,5.6074286,.31907144,1.2229296,
AFG,Afghanistan,2020-12-03,1200.103,,,54.422001,,4.6624999,.34478572,1.2208565,
AFG,Afghanistan,2020-12-04,,,,,,4.6536155,.34561539,1.2191441,
AGO,Angola,2020-11-22,440.96899,,,23.889999,1.042833,4.4770002,.065142855,1.0499172,
AGO,Angola,2020-11-23,445.259,,,23.889999,1.0432096,4.2466431,.063000001,1.0487512,
AGO,Angola,2020-11-24,448.54501,,,23.889999,1.0434785,4.1857858,.065142855,1.0477334,
AGO,Angola,2020-11-25,450.94901,,,23.889999,1.0416605,4.0597858,.060785715,1.0468106,
AGO,Angola,2020-11-26,453.961,,,23.889999,1.0424372,4.0575714,.05642857,1.0461287,
AGO,Angola,2020-11-27,456.638,,,23.889999,1.0433047,3.8685,.054214288,1.0457083,
AGO,Angola,2020-11-28,459.04199,,,23.889999,,3.7229285,.049857143,1.0453566,
AGO,Angola,2020-11-29,459.52899,,,23.889999,,3.5903571,.052000001,1.0450338,
AGO,Angola,2020-11-30,460.62399,,,23.889999,,3.3121428,.052000001,1.0447342,
AGO,Angola,2020-12-01,464.03201,,,23.889999,,3.1143572,.047642857,1.0442293,
AGO,Angola,2020-12-02,466.10101,,,23.889999,,3.0361428,.04107143,1.0436016,
AGO,Angola,2020-12-03,467.379,,,23.889999,,2.6667142,.04107143,1.0430396,
AGO,Angola,2020-12-04,,,,,,2.5605385,.041923076,1.0428301,
ALB,Albania,2020-11-22,11384.043,,,104.871,1.1563107,212.33978,3.4747143,1.236449,5
ALB,Albania,2020-11-23,11660.296,,,104.871,1.1475497,219.04135,3.5987856,1.2271669,5
ALB,Albania,2020-11-24,11918.827,,,104.871,1.1224029,223.53386,3.8717856,1.2174585,5
ALB,Albania,2020-11-25,12142.609,,,104.871,1.0918672,226.93428,3.7973571,1.2079357,5
ALB,Albania,2020-11-26,12370.561,,,104.871,1.076057,233.04015,3.8469999,1.1991802,5
ALB,Albania,2020-11-27,12594.69,,,104.871,1.066488,236.88736,4.1200714,1.1891962,5
ALB,Albania,2020-11-28,12784.071,,,104.871,,237.21007,4.3435001,1.1866604,5
ALB,Albania,2020-11-29,13074.223,,,104.871,,243.11736,4.3435001,1.1818771,5
ALB,Albania,2020-11-30,13267.774,,,104.871,,242.00043,4.4427857,1.1748981,5
ALB,Albania,2020-12-01,13556.884,,,104.871,,245.42572,4.5917144,1.1650804,5
ALB,Albania,2020-12-02,13801.863,,,104.871,,245.27678,4.7902856,1.1528856,5
ALB,Albania,2020-12-03,14073.598,,,104.871,,245.17751,4.8399286,1.1383594,5
ALB,Albania,2020-12-04,,,,,,241.69115,4.8113079,1.1229886,5
AND,Andorra,2020-11-22,80968.094,,,163.755,1.0572739,807.05548,.92442858,1.0632122,5
AND,Andorra,2020-11-23,81589.336,,,163.755,1.0586274,801.50879,.92442858,1.0615865,5
AND,Andorra,2020-11-24,82197.633,,,163.755,1.0617012,807.97998,.92442858,1.0605395,5
AND,Andorra,2020-11-25,83194.203,,,163.755,1.0646809,795.96198,.92442858,1.0600201,5
AND,Andorra,2020-11-26,84566.102,,,163.755,1.067147,848.65637,.92442858,1.0599381,5
AND,Andorra,2020-11-27,85549.734,,,163.755,1.0683986,818.14917,.92442858,1.0600418,5
AND,Andorra,2020-11-28,85549.734,,,163.755,,818.14917,.92442858,1.0598025,5
AND,Andorra,2020-11-29,86869.859,,,163.755,,776.54834,0,1.059472,5
AND,Andorra,2020-11-30,87296.969,,,163.755,,768.22821,0,1.0595058,5
AND,Andorra,2020-12-01,87879.375,,,163.755,,775.6239,0,1.0599023,5
AND,Andorra,2020-12-02,88552.383,,,163.755,,761.75696,0,1.0603942,5
AND,Andorra,2020-12-03,89354.82,,,163.755,,774.69934,.92442858,1.061168,5
AND,Andorra,2020-12-04,,,,,,758.62793,.99553847,1.0619923,5
ARE,United Arab Emirates,2020-11-22,16075.184,1595.338,.011,112.442,1.0155246,121.66929,.2742143,1.0003961,5
ARE,United Arab Emirates,2020-11-23,16182.864,1603.585,.011,112.442,1.015514,121.08428,.28142858,1.0036346,5
ARE,United Arab Emirates,2020-11-24,16315.316,1613.697,.011,112.442,1.0239449,122.62978,.29592857,1.0071228,5
ARE,United Arab Emirates,2020-11-25,16446.453,1625.144,.011,112.442,1.0276989,123.22922,.31035715,1.0103619,5
ARE,United Arab Emirates,2020-11-26,16578.398,1638.9301,.011,112.442,1.02922,124.44971,.29592857,1.0133519,5
ARE,United Arab Emirates,2020-11-27,16708.121,1653.601,.011,112.442,1.029267,124.86136,.28142858,1.0158548,5
ARE,United Arab Emirates,2020-11-28,16834.707,1668.59,.0099999998,112.442,,125.42464,.29585713,1.0172148,5
ARE,United Arab Emirates,2020-11-29,16961.195,1682.462,.0099999998,112.442,,125.72071,.28864285,1.01833,5
ARE,United Arab Emirates,2020-11-30,17073.121,1691.311,.0099999998,112.442,,124.98407,.2742143,1.01926,5
ARE,United Arab Emirates,2020-12-01,17203.449,1704.4449,.0099999998,112.442,,125.22957,.2742143,1.0199612,5
ARE,United Arab Emirates,2020-12-02,17333.373,1718.244,.0099999998,112.442,,125.179,.2742143,1.0205712,5
ARE,United Arab Emirates,2020-12-03,17466.533,1731.629,.0099999998,112.442,,126.36336,.29592857,1.0215474,5
ARE,United Arab Emirates,2020-12-04,,,,,,126.21392,.29538462,1.0224007,5
ARG,Argentina,2020-11-22,30320.664,,,16.177,.8931554,202.58528,5.439857,.90971088,5
ARG,Argentina,2020-11-23,30415.031,,,16.177,.8945666,196.18135,5.0810714,.90835994,5
ARG,Argentina,2020-11-24,30573.543,,,16.177,.89980948,188.57471,5.1347857,.90707356,5
ARG,Argentina,2020-11-25,30763.672,,,16.177,.90437549,184.96028,5.0304999,.906021,5
ARG,Argentina,2020-11-26,30963.756,,,16.177,.90797639,181.60979,4.9925714,.90528792,5
ARG,Argentina,2020-11-27,31137.355,,,16.177,.9094342,175.2675,5.0115714,.9047994,5
ARG,Argentina,2020-11-28,31272.279,,,16.177,,171.52185,4.7649999,.90426809,5
ARG,Argentina,2020-11-29,31392.469,,,16.177,,171.18521,4.7997856,.90390563,5
ARG,Argentina,2020-11-30,31519.162,,,16.177,,167.76042,4.7459998,.90340495,5
ARG,Argentina,2020-12-01,31696.988,,,16.177,,163.67657,4.4599285,.90262759,5
ARG,Argentina,2020-12-02,31863.662,,,16.177,,159.25301,4.4394288,.90183753,5
ARG,Argentina,2020-12-03,32032.463,,,16.177,,155.35249,4.3825712,.90120721,5
ARG,Argentina,2020-12-04,,,,,,150.94992,4.2806153,.90096205,5
ARM,Armenia,2020-11-22,42596.703,,,102.931,.90746355,477.27786,9.4734287,.92293417,5
ARM,Armenia,2020-11-23,42760.375,,,102.931,.90645993,463.85144,9.5457144,.91759062,5
ARM,Armenia,2020-11-24,43034.738,,,102.931,.91969067,454.01657,9.4733572,.91433555,5
ARM,Armenia,2020-11-25,43562.203,,,102.931,.94036496,446.83328,9.7384996,.91314495,5
ARM,Armenia,2020-11-26,44164.586,,,102.931,.95347202,438.46887,9.6420717,.91363287,5
ARM,Armenia,2020-11-27,44662.688,,,102.931,.95561731,432.99701,9.4732857,.91539985,5
ARM,Armenia,2020-11-28,45083.852,,,102.931,,427.59744,9.2322855,.91539997,5
ARM,Armenia,2020-11-29,45480.039,,,102.931,,420.17316,9.1358576,.91644031,5
ARM,Armenia,2020-11-30,45600.18,,,102.931,,415.52084,9.0635004,.91869336,5
ARM,Armenia,2020-12-01,45884.664,,,102.931,,412.12201,9.2081432,.92114186,5
ARM,Armenia,2020-12-02,46311.227,,,102.931,,404.28793,9.3768568,.92314351,5
ARM,Armenia,2020-12-03,46742.176,,,102.931,,398.43042,9.2562857,.92506379,5
ARM,Armenia,2020-12-04,,,,,,385.80499,9.189538,.92719173,5
ATG,Antigua and Barbuda,2020-11-22,1419.41,,,231.845,.33015454,5.8352141,.72942859,.32297826,
ATG,Antigua and Barbuda,2020-11-23,1419.41,,,231.845,.33432198,5.8352141,.72942859,.32380977,
ATG,Antigua and Barbuda,2020-11-24,1419.41,,,231.845,.33960983,5.8352141,.72942859,.32516757,
ATG,Antigua and Barbuda,2020-11-25,1429.6219,,,231.845,.34660572,6.5646429,.72942859,.32701689,
ATG,Antigua and Barbuda,2020-11-26,1439.833,,,231.845,.34930235,7.2940712,.72942859,.3290439,
ATG,Antigua and Barbuda,2020-11-27,1439.833,,,231.845,.3478266,5.8352857,.72942859,.33086681,
ATG,Antigua and Barbuda,2020-11-28,1439.833,,,231.845,,5.1058574,0,.3313888,
ATG,Antigua and Barbuda,2020-11-29,1439.833,,,231.845,,5.1058574,0,.33215898,
ATG,Antigua and Barbuda,2020-11-30,1439.833,,,231.845,,5.1058574,0,.33316872,
ATG,Antigua and Barbuda,2020-12-01,1450.045,,,231.845,,5.8352857,0,.33442411,
ATG,Antigua and Barbuda,2020-12-02,1470.468,,,231.845,,3.6470714,0,.33579943,
ATG,Antigua and Barbuda,2020-12-03,1470.468,,,231.845,,3.6470714,0,.33740294,
ATG,Antigua and Barbuda,2020-12-04,,,,,,3.9276154,0,.33924612,
AUS,Australia,2020-11-22,1091.535,380.754,0,3.2019999,1.0402657,.47335714,0,1.1414422,1
