FIPS,AlGore_Dem_2000,pct_dem_2000,GeorgeWBush_Rep_2000,pct_rep_2000,RalphNader_Green_2000,pct_green_2000,Other_2000,pct_other_2000,totalvotes_2000,JohnKerry_Dem_2004,pct_dem_2004,GeorgeWBush_Rep_2004,pct_rep_2004,Other_2004,pct_other_2004,totalvotes_2004,Obama_Dem_2008,pct_dem_2008,McCain_Rep_2008,pct_rep_2008,Other_2008,pct_other_2008,totalvotes_2008,Obama_Dem_2012,pct_dem_2012,Romney_Rep_2012,pct_rep_2012,Other_2012,pct_other_2012,totalvotes_2012,Clinton_Dem_2016,pct_dem_2016,Trump_Rep_2016,pct_rep_2016,Other_2016,pct_other_2016,totalvotes2016,dem_2020,pct_dem_2020,gop_2020,pct_gop_2020,total_votes_2020
51085,12044,0.289623662,28614,0.688084646,711,0.017097511,216,0.005194181,41585,13941,0.281006228,35404,0.713632057,266,0.005361714,49611,18447,0.327958327,37344,0.663916939,457,0.008124733,56248,18294,0.309763284,39940,0.676284331,824,0.013952386,59058,19382,0.308861728,39630,0.631523592,3741,0.05961468,62753,25307,0.35780737,44318,0.62659764,70728
17085,4585,0.444196861,5304,0.513853904,314,0.030420461,119,0.011528773,10322,5311,0.45847721,6174,0.532976519,99,0.008546271,11584,6403,0.54493617,5170,0.44,177,0.01506383,11750,5667,0.495843906,5534,0.484206842,228,0.019949252,11429,4462,0.393682725,6121,0.540056467,751,0.066260808,11334,5097,0.40851167,7161,0.57393605,12477
28139,2908,0.346066881,5381,0.640366536,60,0.007140307,54,0.006426276,8403,2983,0.327334577,6048,0.663667288,82,0.008998135,9113,2623,0.272406273,6937,0.720427874,69,0.007165853,9629,2317,0.252837189,6717,0.732976866,130,0.014185945,9164,1842,0.199458581,7240,0.783974012,153,0.016567407,9235,1906,0.19058095,7987,0.79862016,10001
46085,482,0.347763348,875,0.631313131,NA,0,29,0.020923521,1386,872,0.449484536,1029,0.530412371,39,0.020103093,1940,710,0.437461491,894,0.550831793,19,0.011706716,1623,605,0.385595921,933,0.594646272,31,0.019757808,1569,369,0.259676284,977,0.687543983,75,0.052779733,1421,525,0.3287414,1042,0.65247339,1597
18141,47703,0.489392043,47581,0.488140427,905,0.009284527,1285,0.013183003,97474,52637,0.484602141,55254,0.508695532,728,0.006702326,108619,68710,0.580374866,48510,0.409750906,1169,0.009874228,118389,56460,0.510008672,52578,0.474942188,1666,0.01504914,110704,52252,0.474759222,52021,0.472660367,5787,0.052580411,110060,59870,0.51814413,53152,0.46000329,115547
56033,3330,0.272147761,8424,0.688460281,208,0.016999019,274,0.022392939,12236,4066,0.289828213,9689,0.690640815,274,0.019530972,14029,4458,0.296429284,10177,0.676707228,404,0.026863488,15039,3618,0.252618349,10267,0.716869152,437,0.030512498,14322,2927,0.20172295,10266,0.707512061,1317,0.09076499,14510,4043,0.24610421,11843,0.72090334,16428
4009,3355,0.347164735,6007,0.621585265,144,0.014900662,158,0.016349338,9664,3185,0.297108209,7467,0.696548507,68,0.006343284,10720,3487,0.290413925,8376,0.697593071,144,0.011993004,12007,3609,0.304428511,8076,0.681231548,170,0.014339941,11855,3301,0.162562789,8025,0.395203388,808,0.039791195,20306,4034,0.26905888,10747,0.71680117,14993
19027,4463,0.466450669,4879,0.50992893,146,0.015259197,80,0.008361204,9568,4689,0.445553022,5762,0.547510452,73,0.006936526,10524,5302,0.510445749,4922,0.473861558,163,0.015692693,10387,4947,0.463462619,5601,0.524732996,126,0.011804384,10674,3309,0.313827769,6638,0.629552352,597,0.056619879,10544,3454,0.30550149,7737,0.68432689,11306
51193,2922,0.484898772,2932,0.486558248,88,0.014603385,84,0.013939595,6026,3370,0.492114486,3433,0.501314252,45,0.006571262,6848,4577,0.546376985,3719,0.443953683,81,0.009669333,8377,4295,0.528940887,3731,0.459482759,94,0.011576355,8120,3836,0.447399114,4448,0.5187777,290,0.033823186,8574,4453,0.45194358,5286,0.53648633,9853
16083,5777,0.256413671,15794,0.701020861,310,0.013759432,649,0.028806036,22530,6458,0.244297333,19672,0.744164933,305,0.011537734,26435,8621,0.304156082,19032,0.67146486,691,0.024379057,28344,7541,0.267962476,19773,0.702615308,828,0.029422216,28142,6233,0.208642967,19828,0.663720961,3813,0.127636072,29874,9391,0.25602508,25897,0.70602506,36680
20197,1025,0.299707602,2182,0.638011696,96,0.028070175,117,0.034210526,3420,1001,0.277746948,2531,0.70227525,72,0.019977802,3604,1036,0.294234592,2395,0.680204487,90,0.02556092,3521,918,0.280991736,2256,0.690541781,93,0.028466483,3267,776,0.229585799,2372,0.701775148,232,0.068639053,3380,956,0.24760425,2813,0.72856772,3861
28033,9586,0.274387451,24879,0.712130753,302,0.008644378,169,0.004837417,34936,13247,0.270451808,35437,0.723484616,297,0.006063576,48981,19627,0.306150462,44222,0.689793945,260,0.004055593,64109,21575,0.327917439,43559,0.662051251,660,0.01003131,65794,20591,0.31343329,43089,0.655894665,2015,0.030672045,65695,27733,0.36970925,45788,0.61040086,75013
31089,846,0.170598911,3954,0.797338173,93,0.018753781,66,0.013309135,4959,894,0.172787012,4217,0.815036722,63,0.012176266,5174,1089,0.21893848,3746,0.753116204,139,0.027945316,4974,882,0.17857866,3922,0.794087872,135,0.027333468,4939,531,0.103751465,4354,0.850722939,233,0.045525596,5118,683,0.1234858,4766,0.86168867,5531
48421,144,0.123817713,998,0.858125537,11,0.009458298,10,0.008598452,1163,124,0.116322702,942,0.883677298,0,0,1066,127,0.124509804,884,0.866666667,9,0.008823529,1020,121,0.116570328,908,0.874759152,9,0.00867052,1038,96,0.102673797,807,0.863101604,32,0.034224599,935,91,0.091919191,885,0.89393938,990
20101,252,0.222418358,846,0.746690203,23,0.020300088,12,0.01059135,1133,181,0.178500986,823,0.811637081,10,0.009861933,1014,193,0.187925998,814,0.792599805,20,0.019474197,1027,172,0.185344828,739,0.796336207,17,0.018318966,928,106,0.121699196,718,0.824339839,47,0.053960964,871,114,0.12837838,757,0.85247749,888
27089,1910,0.367378342,2912,0.560107713,160,0.030775149,217,0.041738796,5199,2308,0.414958648,3187,0.572995325,67,0.012046027,5562,2311,0.487655624,2285,0.482169234,143,0.030175142,4739,1998,0.425287356,2569,0.546828438,131,0.027884206,4698,1225,0.25430766,3208,0.665974673,384,0.079717667,4817,1295,0.2538718,3721,0.72946483,5101
2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
