code3,county_name,state_po,FIPS,Lat,Lon,cbp2018_num_est1,cbp2018_pay_annual1,cbp2018_num_emp1,cbp2018_num_est2,cbp2018_pay_annual2,cbp2018_num_emp2,cbp2018_num_est3,cbp2018_pay_annual3,cbp2018_num_emp3,cbp2018_num_est4,cbp2018_pay_annual4,cbp2018_num_emp4,cbp2018_num_est5,cbp2018_pay_annual5,cbp2018_num_emp5,cbp2018_num_est6,cbp2018_pay_annual6,cbp2018_num_emp6,cbp2018_num_est7,cbp2018_pay_annual7,cbp2018_num_emp7,cbp2018_num_est8,cbp2018_pay_annual8,cbp2018_num_emp8,cbp2018_num_est9,cbp2018_pay_annual9,cbp2018_num_emp9,cbp2018_num_est10,cbp2018_pay_annual10,cbp2018_num_emp10,cbp2018_num_est11,cbp2018_pay_annual11,cbp2018_num_emp11,cbp2018_num_est12,cbp2018_pay_annual12,cbp2018_num_emp12,cbp2018_num_est13,cbp2018_pay_annual13,cbp2018_num_emp13,cbp2018_num_est14,cbp2018_pay_annual14,cbp2018_num_emp14,cbp2018_num_est15,cbp2018_pay_annual15,cbp2018_num_emp15,cbp2018_num_est16,cbp2018_pay_annual16,cbp2018_num_emp16,cbp2018_num_est17,cbp2018_pay_annual17,cbp2018_num_emp17,cbp2018_num_est18,cbp2018_pay_annual18,cbp2018_num_emp18,cbp2018_num_est19,cbp2018_pay_annual19,cbp2018_num_emp19,cbp2018_num_est20,cbp2018_pay_annual20,cbp2018_num_emp20,cbp2018_num_est_total,cbp2018_pay_annual_total,cbp2018_num_emp_total,cbp2000_num_emp1,cbp2000_pay_annual1,cbp2000_num_est1,cbp2000_num_emp10,cbp2000_pay_annual10,cbp2000_num_est10,cbp2000_num_emp11,cbp2000_pay_annual11,cbp2000_num_est11,cbp2000_num_emp12,cbp2000_pay_annual12,cbp2000_num_est12,cbp2000_num_emp13,cbp2000_pay_annual13,cbp2000_num_est13,cbp2000_num_emp14,cbp2000_pay_annual14,cbp2000_num_est14,cbp2000_num_emp15,cbp2000_pay_annual15,cbp2000_num_est15,cbp2000_num_emp16,cbp2000_pay_annual16,cbp2000_num_est16,cbp2000_num_emp17,cbp2000_pay_annual17,cbp2000_num_est17,cbp2000_num_emp18,cbp2000_pay_annual18,cbp2000_num_est18,cbp2000_num_emp19,cbp2000_pay_annual19,cbp2000_num_est19,cbp2000_num_emp2,cbp2000_pay_annual2,cbp2000_num_est2,cbp2000_num_emp20,cbp2000_pay_annual20,cbp2000_num_est20,cbp2000_num_emp3,cbp2000_pay_annual3,cbp2000_num_est3,cbp2000_num_emp4,cbp2000_pay_annual4,cbp2000_num_est4,cbp2000_num_emp5,cbp2000_pay_annual5,cbp2000_num_est5,cbp2000_num_emp6,cbp2000_pay_annual6,cbp2000_num_est6,cbp2000_num_emp7,cbp2000_pay_annual7,cbp2000_num_est7,cbp2000_num_emp8,cbp2000_pay_annual8,cbp2000_num_est8,cbp2000_num_emp9,cbp2000_pay_annual9,cbp2000_num_est9,cbp2000_num_emptotal,cbp2000_pay_annualtotal,cbp2000_num_esttotal,cbp2018_pct_num_est1,cbp2018_pct_num_est2,cbp2018_pct_num_est3,cbp2018_pct_num_est4,cbp2018_pct_num_est5,cbp2018_pct_num_est6,cbp2018_pct_num_est7,cbp2018_pct_num_est8,cbp2018_pct_num_est9,cbp2018_pct_num_est10,cbp2018_pct_num_est11,cbp2018_pct_num_est12,cbp2018_pct_num_est13,cbp2018_pct_num_est14,cbp2018_pct_num_est15,cbp2018_pct_num_est16,cbp2018_pct_num_est17,cbp2018_pct_num_est18,cbp2018_pct_num_est19,cbp2018_pct_num_est20,cbp2018_pct_pay_annual1,cbp2018_pct_pay_annual2,cbp2018_pct_pay_annual3,cbp2018_pct_pay_annual4,cbp2018_pct_pay_annual5,cbp2018_pct_pay_annual6,cbp2018_pct_pay_annual7,cbp2018_pct_pay_annual8,cbp2018_pct_pay_annual9,cbp2018_pct_pay_annual10,cbp2018_pct_pay_annual11,cbp2018_pct_pay_annual12,cbp2018_pct_pay_annual13,cbp2018_pct_pay_annual14,cbp2018_pct_pay_annual15,cbp2018_pct_pay_annual16,cbp2018_pct_pay_annual17,cbp2018_pct_pay_annual18,cbp2018_pct_pay_annual19,cbp2018_pct_pay_annual20,cbp2018_pct_emp1,cbp2018_pct_emp2,cbp2018_pct_emp3,cbp2018_pct_emp4,cbp2018_pct_emp5,cbp2018_pct_emp6,cbp2018_pct_emp7,cbp2018_pct_emp8,cbp2018_pct_emp9,cbp2018_pct_emp10,cbp2018_pct_emp11,cbp2018_pct_emp12,cbp2018_pct_emp13,cbp2018_pct_emp14,cbp2018_pct_emp15,cbp2018_pct_emp16,cbp2018_pct_emp17,cbp2018_pct_emp18,cbp2018_pct_emp19,cbp2018_pct_emp20,cbp2000_pct_num_est1,cbp2000_pct_num_est2,cbp2000_pct_num_est3,cbp2000_pct_num_est4,cbp2000_pct_num_est5,cbp2000_pct_num_est6,cbp2000_pct_num_est7,cbp2000_pct_num_est8,cbp2000_pct_num_est9,cbp2000_pct_num_est10,cbp2000_pct_num_est11,cbp2000_pct_num_est12,cbp2000_pct_num_est13,cbp2000_pct_num_est14,cbp2000_pct_num_est15,cbp2000_pct_num_est16,cbp2000_pct_num_est17,cbp2000_pct_num_est18,cbp2000_pct_num_est19,cbp2000_pct_num_est20,cbp2000_pct_pay_annual1,cbp2000_pct_pay_annual2,cbp2000_pct_pay_annual3,cbp2000_pct_pay_annual4,cbp2000_pct_pay_annual5,cbp2000_pct_pay_annual6,cbp2000_pct_pay_annual7,cbp2000_pct_pay_annual8,cbp2000_pct_pay_annual9,cbp2000_pct_pay_annual10,cbp2000_pct_pay_annual11,cbp2000_pct_pay_annual12,cbp2000_pct_pay_annual13,cbp2000_pct_pay_annual14,cbp2000_pct_pay_annual15,cbp2000_pct_pay_annual16,cbp2000_pct_pay_annual17,cbp2000_pct_pay_annual18,cbp2000_pct_pay_annual19,cbp2000_pct_pay_annual20,cbp2000_pct_emp1,cbp2000_pct_emp2,cbp2000_pct_emp3,cbp2000_pct_emp4,cbp2000_pct_emp5,cbp2000_pct_emp6,cbp2000_pct_emp7,cbp2000_pct_emp8,cbp2000_pct_emp9,cbp2000_pct_emp10,cbp2000_pct_emp11,cbp2000_pct_emp12,cbp2000_pct_emp13,cbp2000_pct_emp14,cbp2000_pct_emp15,cbp2000_pct_emp16,cbp2000_pct_emp17,cbp2000_pct_emp18,cbp2000_pct_emp19,cbp2000_pct_emp20
840,Hanover,VA,51085,37.7583355,-77.49464673,223,65236,4244,210,98167,2952,9,701,22,45,35620,2173,550,259350,5217,38,30869,1275,151,63953,965,287,294948,5972,5,176,2,35,23535,535,18,177423,2822,133,166866,3879,3,4883,83,380,79440,2432,281,86040,1689,145,23332,466,352,195566,6641,89,80642,1850,,,,255,306459,5140,3211,1993738,48367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069448769,0.065400183,0.002802865,0.014014326,0.17128621,0.01183432,0.047025848,0.089380257,0.001557147,0.010900031,0.00560573,0.041420117,0.000934288,0.1183432,0.087511681,0.045157272,0.10962317,0.027717222,,0.079414509,0.032720447,0.049237665,0.000351601,0.017865939,0.13008229,0.015482977,0.032076932,0.14793719,8.82764E-05,0.01180446,0.08899013,0.083695047,0.002449168,0.039844755,0.043155119,0.011702641,0.09809012,0.040447641,,0.15371077,0.087745778,0.061033349,0.000454856,0.044927325,0.1078628,0.02636095,0.019951619,0.12347262,4.13505E-05,0.01106126,0.058345567,0.080199309,0.001716046,0.050282218,0.034920502,0.009634668,0.13730437,0.038249221,,0.10627081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Jo Daviess,IL,17085,42.36542373,-90.21094405,93,25705,1388,34,13005,393,4,201,7,18,2624,103,98,20222,406,,,,38,9362,203,44,21661,726,,,,6,876,25,,,,39,42796,811,,,,68,7811,275,49,7392,168,18,6549,106,113,25182,966,47,9575,235,,,,28,9754,151,706,220128,6147,1931,18952,93,53,978,9,0,0,1,1653,50266,37,0,0,2,388,5292,86,189,5289,56,0,0,19,892,14311,140,545,7001,29,0,0,3,226,5801,36,193,5482,35,0,0,1,145,3885,15,457,11576,112,0,0,3,228,6517,39,516,9796,36,21,260,9,7723,155042,763,0.13172804,0.048158642,0.005665722,0.025495751,0.1388102,,0.053824361,0.062322944,,0.008498584,,0.055240795,,0.096317284,0.069405101,0.025495751,0.16005665,0.066572241,,0.039660055,0.11677297,0.059079263,0.000913105,0.011920338,0.091864735,,0.042529799,0.098401837,,0.003979503,,0.19441415,,0.0354839,0.033580463,0.029750872,0.11439708,0.043497421,,0.044310585,0.2258012,0.063933626,0.001138767,0.016756142,0.066048481,,0.03302424,0.1181064,,0.004067025,,0.13193427,,0.044737272,0.027330404,0.017244184,0.15714984,0.038230032,,0.024564829,0.12188729,0.047182176,0.001310616,0.01965924,0.14678898,0.003931848,0.051114023,0.047182176,0.011795544,0.011795544,0.001310616,0.048492793,0.002621232,0.11271297,0.073394492,0.024901703,0.18348624,0.038007863,0.003931848,0.04587156,0.12223785,0.037415668,0,0.025057726,0.074663639,0,0.042033773,0.063182883,0.001676965,0.006307968,0,0.32420892,0,0.034132686,0.034113336,0,0.092304021,0.045155507,0,0.035358161,0.25003237,0.029263239,0,0.018775087,0.059173897,0,0.029522207,0.066813417,0.002719151,0.006862618,0,0.214036,0,0.050239544,0.024472356,0,0.11549916,0.070568435,0,0.024990289
840,Tippah,MS,28139,34.76872156,-88.90988194,22,3415,274,16,9205,244,6,1168,29,,,,23,9721,248,6,4896,240,19,6300,147,33,20006,661,,,,6,950,26,,,,26,84263,2252,3,5738,128,53,3855,195,17,3514,78,6,765,54,72,14943,673,18,2532,70,6,2903,52,20,10915,172,357,185416,5552,238,1761,19,74,1416,11,0,0,2,3286,81691,36,0,0,4,198,2129,45,107,1943,17,62,1413,8,868,11995,100,171,5475,22,0,0,7,40,1140,8,134,3081,20,0,0,8,9,81,3,736,20007,37,0,0,6,174,4311,19,555,11209,21,1,100,4,7124,157232,397,0.06162465,0.044817928,0.016806724,,0.064425774,0.016806724,0.053221289,0.092436977,,0.016806724,,0.072829135,0.008403362,0.14845939,0.047619049,0.016806724,0.20168068,0.050420169,0.016806724,0.056022409,0.018418044,0.049645122,0.006299349,,0.052428052,0.026405489,0.03397765,0.10789791,,0.005123614,,0.45445377,0.030946627,0.020791085,0.018951979,0.004125858,0.080591753,0.01365578,0.015656685,0.058867626,0.049351584,0.043948125,0.005223343,,0.044668589,0.043227665,0.026476946,0.1190562,,0.004682997,,0.40561959,0.023054754,0.03512248,0.014048992,0.009726225,0.12121758,0.012608069,0.009365995,0.030979827,0.047858942,0.020151133,0.020151133,0.007556675,0.093198992,0.01511335,0.047858942,0.052896727,0.010075566,0.027707808,0.005037783,0.0906801,0.010075566,0.11335012,0.042821158,0.020151133,0.25188917,0.055415615,0.017632242,0.050377835,0.01120001,0.007250432,0,0.000515162,0.12724508,0,0.027418083,0.071289562,0.000636003,0.0090058,0,0.51955706,0,0.013540501,0.012357536,0.00898672,0.076288544,0.034821156,0,0.019595249,0.033408199,0.005614823,0,0.001263335,0.10331275,0,0.02442448,0.07790567,0.000140371,0.010387423,0,0.46125773,0,0.027793374,0.015019652,0.008702976,0.12184166,0.02400337,0,0.018809658
840,Lyman,SD,46085,43.89522709,-99.85201878,13,3764,180,,,,,,,,,,11,954,33,,,,8,1067,30,,,,,,,,,,,,,,,,,,,5,205,11,4,85,5,,,,15,3634,177,,,,,,,5,1691,50,74,15388,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17567568,,,,0.14864865,,0.10810811,,,,,,,0.067567565,0.054054055,,0.2027027,,,0.067567565,0.24460618,,,,0.061996359,,0.069339745,,,,,,,0.013322069,0.005523785,,0.23615804,,,0.10989083,0.30927834,,,,0.056701031,,0.051546391,,,,,,,0.018900344,0.008591065,,0.3041237,,,0.085910656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,St. Joseph,IN,18141,41.61756781,-86.29040834,580,195788,12205,332,164155,5557,,,,87,22120,1290,426,302851,4452,78,619192,15715,378,249897,3842,688,877826,19166,,,,109,208305,3110,50,259460,4085,331,842365,14808,,,,644,159340,5432,493,307431,4927,234,61922,1536,900,453980,16413,176,185885,3967,9,21128,229,344,305955,5402,5864,5237752,122144,10508,102310,534,3170,109572,112,3679,216561,44,21224,789216,474,0,0,3,7435,148162,769,5251,191699,583,1434,34126,204,17676,313241,1030,3071,109111,152,0,0,8,6337,151587,301,7470,264548,460,8,86,4,1052,12347,72,7134,262465,656,9020,254075,61,4924,174081,439,14959,470105,588,63,1522,48,125092,3636555,6557,0.098908596,0.056616645,,0.014836289,0.072646655,0.013301501,0.064461119,0.11732606,,0.018587995,0.008526603,0.056446113,,0.10982265,0.084072307,0.039904501,0.15347886,0.030013643,0.001534789,0.058663029,0.037380159,0.031340737,,0.004223186,0.057820797,0.11821713,0.047710735,0.16759595,,0.039769925,0.049536519,0.16082567,,0.030421449,0.058695219,0.011822247,0.086674586,0.035489462,0.004033791,0.05841342,0.099923044,0.04549548,,0.010561305,0.03644878,0.12865962,0.031454675,0.15691315,,0.02546175,0.033444133,0.12123396,,0.044472098,0.040337633,0.012575321,0.13437419,0.032478057,0.001874836,0.044226486,0.081439681,0.045905139,0.000610035,0.010980631,0.10004576,0.009303035,0.066951349,0.089675158,0.007320421,0.017080981,0.006710386,0.072289154,0.000457526,0.11727925,0.088912614,0.031111788,0.15708403,0.023181332,0.00122007,0.070154034,0.028133769,0.041684233,2.36488E-05,0.003395246,0.07217408,0.069866948,0.047869757,0.12927207,0.000418528,0.030130714,0.059551142,0.21702299,0,0.040742405,0.052714452,0.009384156,0.086136743,0.030003946,0,0.072746873,0.084002174,0.050658714,6.39529E-05,0.00840981,0.057030026,0.072106928,0.03936303,0.11958399,0.000503629,0.025341349,0.029410355,0.16966712,0,0.059436254,0.041977104,0.011463563,0.141304,0.024549931,0,0.05971605
840,Sheridan,WY,56033,44.79048913,-106.8862389,106,31946,1829,68,8171,235,3,85,2,29,6006,334,171,48457,906,6,187,11,66,25374,332,142,167202,2948,11,306,4,33,7060,188,5,1499,22,33,27710,500,10,4014,51,109,12898,458,212,47269,741,75,6008,201,165,50643,1661,42,14773,322,4,4453,52,39,12626,228,1329,476687,11025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079759218,0.051166292,0.002257336,0.021820918,0.12866817,0.004514673,0.049661398,0.10684726,0.0082769,0.024830699,0.003762227,0.024830699,0.007524455,0.082016557,0.15951844,0.056433409,0.1241535,0.03160271,0.003009782,0.029345373,0.067016721,0.017141227,0.000178314,0.012599463,0.1016537,0.000392291,0.053229898,0.35075846,0.000641931,0.014810557,0.003144621,0.058130387,0.00842062,0.027057586,0.099161506,0.012603658,0.10623953,0.030990986,0.009341559,0.026486982,0.16589569,0.021315193,0.000181406,0.030294785,0.082176872,0.000997732,0.030113379,0.26739228,0.000362812,0.017052155,0.001995465,0.045351475,0.00462585,0.041541949,0.067210883,0.018231293,0.15065759,0.029206349,0.004716553,0.020680273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Graham,AZ,4009,32.93166885,-109.8882178,59,13917,1043,16,2869,87,4,911,170,8,780,60,58,15699,365,8,1213,65,24,5614,116,80,100163,2016,,,,11,3434,98,,,,17,8495,249,,,,45,12343,308,28,14926,434,23,1757,61,97,40604,1569,18,9280,170,5,3407,50,19,11258,236,521,283313,7402,681,5659,58,90,2196,10,0,0,1,256,6384,16,0,0,3,414,7413,51,0,0,24,62,1122,19,1355,22922,109,0,0,17,0,0,3,126,1555,21,203,4442,22,5,76,4,0,0,6,349,5989,48,0,0,6,112,2541,22,970,21738,67,1,28,5,4939,89248,515,0.11324376,0.030710172,0.007677543,0.015355086,0.11132438,0.015355086,0.04606526,0.15355086,,0.021113243,,0.032629557,,0.086372361,0.053742804,0.044145875,0.18618043,0.034548946,0.009596929,0.036468331,0.049122348,0.010126609,0.003215525,0.002753139,0.055412211,0.004281484,0.01981554,0.35354185,,0.01212087,,0.029984504,,0.043566655,0.052683782,0.006201622,0.14331852,0.032755293,0.012025569,0.039736968,0.14090787,0.011753581,0.022966765,0.008105917,0.049310997,0.008781411,0.015671439,0.27235883,,0.013239665,,0.033639558,,0.041610375,0.058632802,0.008241016,0.21196973,0.022966765,0.006754931,0.031883273,0.11262136,0.0407767,0.007766991,0.011650485,0.09320388,0.011650485,0.042718448,0.13009709,0.009708738,0.019417476,0.001941748,0.031067962,0.005825243,0.099029124,0.04660194,0.036893204,0.21165049,0.033009708,0.005825243,0.042718448,0.063407585,0.01742336,0.00085156,0,0.067105144,0,0.028471226,0.24356848,0.000313733,0.024605593,0,0.071531013,0,0.083060682,0,0.01257171,0.25683489,0,0,0.049771424,0.13788216,0.025511237,0.001012351,0,0.070662074,0,0.022676656,0.19639604,0.00020247,0.018222312,0,0.051832356,0,0.083822638,0,0.012553148,0.27434704,0,0,0.041101437
840,Carroll,IA,19027,42.03617207,-94.86032705,57,8954,665,26,6512,214,10,1397,20,11,737,42,114,18079,419,7,5860,252,75,36319,736,103,80214,2148,,,,15,5288,145,,,,37,69389,1380,,,,92,8490,362,45,7193,170,21,3753,104,139,41700,1580,61,12201,305,4,3265,43,59,76699,1570,878,387258,10198,732,5655,49,140,3325,15,0,0,6,1321,39515,35,,,,298,3969,87,165,3756,43,124,2220,17,1786,27847,166,184,3585,50,56,1835,3,301,4098,23,1281,38828,51,0,0,6,0,0,6,598,12034,117,246,3759,8,892,20814,59,1734,34424,89,0,0,5,10182,211319,837,0.064920276,0.029612755,0.011389522,0.012528474,0.12984055,0.007972665,0.085421413,0.11731207,,0.017084282,,0.042141229,,0.1047836,0.051252846,0.023917995,0.15831435,0.069476083,0.004555809,0.06719818,0.023121536,0.016815662,0.003607414,0.001903124,0.046684638,0.01513203,0.093785025,0.20713323,,0.013654979,,0.17918029,,0.021923369,0.01857418,0.009691213,0.10768015,0.031506129,0.008431071,0.19805659,0.065208867,0.020984506,0.001961169,0.004118455,0.041086487,0.024710728,0.072171018,0.21062954,,0.014218474,,0.13532065,,0.035497155,0.016669935,0.010198078,0.15493234,0.029907824,0.004216513,0.15395175,0.058542412,0.027479092,0.007168459,0.007168459,0.13978495,0.009557945,0.070489846,0.10633214,0.005973716,0.017921148,0.007168459,0.041816011,,0.10394266,0.051373955,0.020310633,0.19832736,0.059737157,0.003584229,0.060931899,0.026760491,0.019392483,0,0,0.056947079,0.017788272,0.09849564,0.16290064,0,0.015734505,0,0.18699218,,0.018782031,0.017774075,0.010505444,0.13177708,0.016964873,0.008683554,0.18374117,0.071891576,0.029561972,0,0,0.058731094,0.024160283,0.087605581,0.17030053,0,0.013749754,0,0.12973875,,0.029267335,0.016205069,0.012178354,0.17540759,0.018071106,0.005499902,0.12581025
840,Westmoreland,VA,51193,38.11021557,-76.80213247,27,4768,259,14,6011,244,,,,7,2029,70,48,6266,151,3,229,15,14,3390,82,16,6107,218,,,,6,302,24,,,,12,19709,627,,,,54,3514,204,23,4300,67,7,267,12,48,11200,456,13,655,36,3,657,11,12,1084,31,310,70647,2516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087096773,0.045161292,,0.022580646,0.15483871,0.009677419,0.045161292,0.051612902,,0.019354839,,0.038709678,,0.17419355,0.074193545,0.022580646,0.15483871,0.041935485,0.009677419,0.038709678,0.067490481,0.085084997,,0.028720258,0.088694498,0.003241468,0.047985051,0.086443871,,0.004274775,,0.27897859,,0.049740259,0.060865995,0.003779354,0.15853469,0.009271449,0.009299758,0.015343893,0.10294118,0.096979335,,0.027821939,0.060015898,0.005961844,0.032591414,0.086645469,,0.00953895,,0.24920508,,0.081081077,0.026629571,0.004769475,0.18124007,0.014308427,0.004372019,0.012321144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Twin Falls,ID,16083,42.35440512,-114.6685381,198,55353,3743,120,56870,2492,22,5703,107,44,3964,243,324,63124,1540,17,1226,62,146,52084,947,410,250165,6554,,,,30,17083,394,15,19153,354,86,173495,3434,,,,207,35405,1316,238,50229,1117,149,11504,368,361,146424,5202,144,50816,1369,16,18473,249,146,73207,1547,2675,1084386,31042,2388,22115,145,454,11395,31,84,2977,8,3210,92893,87,35,903,5,957,14927,181,756,23911,182,234,4839,79,4431,87443,380,1173,29256,104,253,10413,11,2422,21763,71,1551,42681,149,88,1726,15,199,2365,28,1430,35073,279,102,1337,16,831,28409,135,3355,79029,212,58,591,34,24060,516491,2156,0.074018694,0.044859812,0.008224299,0.016448598,0.1211215,0.00635514,0.054579441,0.15327103,,0.011214953,0.005607477,0.032149531,,0.077383175,0.088971965,0.055700935,0.13495328,0.053831775,0.005981308,0.054579441,0.051045477,0.052444424,0.005259197,0.003655525,0.058211744,0.001130594,0.048030868,0.23069738,,0.015753616,0.017662529,0.15999377,,0.032649811,0.046320222,0.010608768,0.13502941,0.046861541,0.017035447,0.067510091,0.12057857,0.08027833,0.003446943,0.007828104,0.049610205,0.001997294,0.030507054,0.2111333,,0.012692481,0.011403904,0.11062431,,0.042394176,0.035983507,0.011854907,0.16757941,0.04410154,0.00802139,0.049835708,0.067254171,0.032931354,0.006957328,0.012987013,0.1294063,0.00742115,0.062615953,0.098330244,0.015769944,0.014378479,0.003710575,0.040352505,0.002319109,0.083951764,0.084415585,0.036641929,0.17625232,0.048237476,0.005102041,0.069109462,0.042817783,0.042136263,0.003341781,0.004578976,0.067906313,0.002588622,0.055003863,0.15301138,0.00114426,0.022062341,0.005763895,0.17985405,0.001748336,0.028900795,0.046295095,0.009368992,0.16930208,0.056643777,0.020161048,0.082636483,0.099251874,0.100665,0.003657523,0.008270989,0.059434745,0.004239401,0.034538653,0.13944305,0.00241064,0.018869493,0.003491272,0.13341646,0.001454697,0.039775562,0.031421445,0.009725686,0.18416458,0.048753116,0.010515378,0.064463839
