code3,county_name,state_po,FIPS,Lat,Lon,pct_white,pct_black,pct_ameri_es,pct_asian,pct_hawn_pi,pct_other,pct_mult_race,pct_hispanic,pct_nonhisp_white,pct_males,pct_females,age_under5,age_5_9,age_10_14,age_15_19,age_20_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85_up,med_age,households,ave_hh_sz,families,ave_fam_sz,hse_units,vacant,owner_occ,renter_occ,Rural_urban_Continuum_Code_2013,Urban_Influence_Code_2013,number_colleges_uni,lessthan_hs_2014_2018,hs_diploma_only_2014_2018,some_college_2018,bachelors_or_higher_2018,pct_less_than_hs,pct_hs,pct_some_college,pct_bachelors,rural_urban_continuum_code_2013,urban_influence_code_2013,metro_2013,civilian_labor_force_2019,employed_2019,unemployed_2019,unemploy_rate_2019,med_hh_inc_2018,med_hh_inc_pct_state_total,patents_total_2015,patents_p_capita_2015,pct_patents_total_2015
840,Hanover,VA,51085,37.7583355,-77.49464673,0.86668736,0.09316764,0.003685049,0.013528534,0.000390535,0.007520303,0.015020578,2.8800001,84.389999,0.49127305,0.50872695,5473,6896,7698,7680,5086,8925,14283,17581,13137,7384,4089,1631,41.099998,36589,2.6800001,28032,3.0599999,38360,1771,30171,6418,1,1,1,"4,983","18,366","20,352","28,158",6.9000001,25.6,28.299999,39.200001,1,1,1,"59,705","58,264","1,441",2.4000001,"91,028",125.4,220,0.00204146,0.000138177
840,Jo Daviess,IL,17085,42.36542373,-90.21094405,0.97213161,0.004718229,0.001984302,0.003174883,0.000485052,0.008554546,0.008951407,2.96,94.779999,0.50167561,0.49832436,1194,1277,1400,1278,963,2060,2497,3441,3736,2707,1493,632,47,9753,2.3099999,6514,2.8099999,13574,3821,7740,2013,6,6,0,"1,323","6,012","5,020","3,867",8.1999998,37.099998,30.9,23.799999,6,6,0,"10,869","10,428",441,4.0999999,"56,832",87.300003,40,0.001883683,2.5123E-05
840,Tippah,MS,28139,34.76872156,-88.90988194,0.79970312,0.15940987,0.002428931,0.001529327,0.000134941,0.022535084,0.014258726,4.75,77.139999,0.48853004,0.51146996,1578,1594,1549,1554,1412,2647,2888,3111,2644,1886,1042,327,37.799999,8597,2.55,6041,3.0799999,9696,1099,6428,2169,6,4,2,"3,212","5,155","3,760","2,225",22.4,35.900002,26.200001,15.5,6,4,0,"9,442","8,960",482,5.0999999,"39,833",89,6,0.000272541,3.77E-06
840,Lyman,SD,46085,43.89522709,-99.85201878,0.5834887,0.000798935,0.38242343,0.002663116,0.000266312,0.001331558,0.029027963,2,55.470001,0.52356857,0.47643143,283,304,312,301,210,429,398,541,429,310,186,52,36,1392,2.6700001,967,3.1900001,1704,312,955,437,9,10,0,237,915,773,475,9.8999996,38.099998,32.200001,19.799999,9,10,0,"1,690","1,609",81,4.8000002,"47,429",83.099998,1,0.00026448,6.28E-07
840,St. Joseph,IN,18141,41.61756781,-86.29040834,0.78661525,0.1272164,0.003858675,0.018866299,0.00072678,0.033832714,0.028883869,8.5699997,73.290001,0.48481444,0.51518559,17749,18140,18388,21003,20735,33697,32564,37269,31821,17132,12537,5896,36.200001,103069,2.48,66365,3.0699999,114849,11780,71454,31615,2,2,7,"20,253","53,751","50,092","51,236",11.6,30.700001,28.6,29.200001,2,2,1,"136,431","131,498","4,933",3.5999999,"54,674",98.099998,1199,0.00441091,0.000753062
840,Sheridan,WY,56033,44.79048913,-106.8862389,0.95418328,0.003674955,0.01232999,0.006594312,0.000789944,0.007178184,0.015249347,4.0500002,91.809998,0.50024045,0.49975958,1865,1739,1720,1887,1587,3409,3334,4499,4528,2479,1438,631,42.099998,12360,2.27,7701,2.8399999,13939,1579,8501,3859,7,8,1,"1,018","5,149","8,678","6,358",4.8000002,24.299999,40.900002,30,7,8,0,"15,653","15,111",542,3.5,"58,307",93.699997,36,0.001180909,2.26107E-05
840,Graham,AZ,4009,32.93166885,-109.8882178,0.72076839,0.01835035,0.14443848,0.005373455,0.001397098,0.081515312,0.028156905,32.59,50.98,0.53672755,0.46327242,3215,2881,2825,3151,2950,5275,4522,4462,3678,2388,1429,444,31.700001,11120,3.01,8188,3.5,12980,1860,8089,3031,7,8,1,"3,379","7,028","9,526","3,598",14.4,29.9,40.5,15.3,7,8,0,"15,351","14,608",743,4.8000002,"50,157",84.900002,26,0.000669465,1.633E-05
840,Carroll,IA,19027,42.03617207,-94.86032705,0.97280937,0.003987317,0.001200999,0.004419677,4.804E-05,0.008599155,0.008935435,2.28,95.220001,0.48717332,0.51282668,1464,1355,1376,1393,941,2252,2342,3274,2545,1676,1443,755,42.099998,8683,2.3399999,5593,2.9400001,9376,693,6486,2197,7,11,0,892,"5,013","4,823","3,070",6.5,36.299999,35,22.200001,7,11,0,"11,106","10,890",216,1.9,"60,531",100.8,19,0.000942227,1.19334E-05
840,Westmoreland,VA,51193,38.11021557,-76.80213247,0.65893203,0.2802223,0.004182423,0.005672052,0.000286467,0.028360261,0.022344448,6.3400002,63.709999,0.48762462,0.51237541,922,938,956,1051,915,1710,1860,2679,2778,2158,1128,359,46.5,7310,2.3800001,4845,2.8800001,10618,3308,5591,1719,6,4,0,"1,834","4,295","4,351","2,676",13.9,32.599998,33.099998,20.299999,6,4,0,"9,538","9,204",334,3.5,"51,414",70.800003,19,0.001054677,1.19334E-05
840,Twin Falls,ID,16083,42.35440512,-114.6685381,0.88946003,0.004428331,0.007846692,0.011938366,0.001074712,0.062527515,0.02272433,15.9,79.879997,0.49352583,0.5064742,6367,5919,5543,5616,5279,10450,8759,10002,8589,5653,3465,1588,34.400002,28760,2.6500001,19954,3.1600001,31072,2312,19123,9637,5,8,3,"6,501","14,840","20,934","10,943",12.2,27.9,39.299999,20.6,5,8,0,"41,393","40,234","1,159",2.8,"51,594",92.900002,95,0.001093487,5.96671E-05
