code3,county_name,state_po,FIPS,Lat,Lon,Population,pop_1980_census,inmates,area_m,area_mi,popden_sqmi,AlGore_Dem_2000,pct_dem_2000,GeorgeWBush_Rep_2000,pct_rep_2000,RalphNader_Green_2000,pct_green_2000,Other_2000,pct_other_2000,totalvotes_2000,JohnKerry_Dem_2004,pct_dem_2004,GeorgeWBush_Rep_2004,pct_rep_2004,Other_2004,pct_other_2004,totalvotes_2004,Obama_Dem_2008,pct_dem_2008,McCain_Rep_2008,pct_rep_2008,Other_2008,pct_other_2008,totalvotes_2008,Obama_Dem_2012,pct_dem_2012,Romney_Rep_2012,pct_rep_2012,Other_2012,pct_other_2012,totalvotes_2012,Clinton_Dem_2016,pct_dem_2016,Trump_Rep_2016,pct_rep_2016,Other_2016,pct_other_2016,totalvotes2016,dem_2020,pct_dem_2020,gop_2020,pct_gop_2020,total_votes_2020,pop_sqmi,pop2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pop_relgiondata,totadh,totcng,totrate,mprtrate,cathrate,evanrate,bprtrate,abcrate,agrate,amerate,bahrate,ccccrate,ccdcrate,cgctrate,chchrate,ecrate,elcarate,lcmsrate,ldsrate,nazrate,nondrate,pcrate,sbcrate,sdacrate,uccrate,umcrate,chr_pctile_inc_80,chr_pctile_inc_20,chr_inc_ratio,chr_soc_association_rate,chr_crime_rate,chr_pct_svr_housing_prblms,chr_pct_mental_distress,chr_overdose_mortality_rt,chr_pct_adult_no_ins,chr_pct_child_no_ins,chr_hlthcare_costs,chr_seg_ind_bw,chr_seg_ind_non_w,chr_life_quality_rank,chr_soc_econ_rank,sqmi,shape_leng,c333,d334
840,Hanover,VA,51085,37.7583355,-77.49464673,107766,50398,,1213502928,468.71492,213.0570113,12044,0.289623662,28614,0.688084646,711,0.017097511,216,0.005194181,41585,13941,0.281006228,35404,0.713632057,266,0.005361714,49611,18447,0.327958327,37344,0.663916939,457,0.008124733,56248,18294,0.309763284,39940,0.676284331,824,0.013952386,59058,19382,0.308861728,39630,0.631523592,3741,0.05961468,62753,25307,0.35780737,44318,0.62659764,70728,226.10001,99863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107188,48936,117,490.03,134.34,51.900002,266.95999,11.38,,13.17,,0.22,41.669998,15.91,3.8,2,23.530001,2.25,2.5799999,18.1,6.2600002,11.64,18.459999,176,4.0700002,,74.190002,140827,37850,3.7,13.85,120.92,10.15,9.6000004,12.28,8.4899998,4.6599998,9428,27.27,21.6,6,7,474,2.1629682,2770,58
840,Jo Daviess,IL,17085,42.36542373,-90.21094405,21235,23520,,1556808594,601.3165678,37.7139118,4585,0.444196861,5304,0.513853904,314,0.030420461,119,0.011528773,10322,5311,0.45847721,6174,0.532976519,99,0.008546271,11584,6403,0.54493617,5170,0.44,177,0.01506383,11750,5667,0.495843906,5534,0.484206842,228,0.019949252,11429,4462,0.393682725,6121,0.540056467,751,0.066260808,11334,5097,0.40851167,7161,0.57393605,12477,37.200001,22678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23036,12919,46,569.66998,176.38,345.89001,41.93,,,3.53,,0.13,,,,,5.5599999,69.050003,9.5200005,1.6799999,1.8099999,3.8800001,17.73,,,,84.050003,97691,23199,4.1999998,14.49,124.2,11.56,10.19,,7.1999998,3.3900001,8761,,37.93,5,17,618.75,1.9234179,1183,21
840,Tippah,MS,28139,34.76872156,-88.90988194,22015,18739,,1185734808,457.9894971,48.5425979,2908,0.346066881,5381,0.640366536,60,0.007140307,54,0.006426276,8403,2983,0.327334577,6048,0.663667288,82,0.008998135,9113,2623,0.272406273,6937,0.720427874,69,0.007165853,9629,2317,0.252837189,6717,0.732976866,130,0.014185945,9164,1842,0.199458581,7240,0.783974012,153,0.016567407,9235,1906,0.19058095,7987,0.79862016,10001,49.900002,22232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22930,14681,78,660.34998,88.660004,11.25,560.45001,,,5.04,,,,,3.0999999,43.049999,,,,,,8.1000004,11.29,488,,,77.370003,72356,15559,4.6999998,16.27,76.989998,11.6,13.37,,21.639999,5.6999998,11866,21.049999,22.209999,36,12,459.97,1.5187374,1417,30
840,Lyman,SD,46085,43.89522709,-99.85201878,3781,3864,,4252595025,1642.562775,2.286061791,482,0.347763348,875,0.631313131,NA,0,29,0.020923521,1386,872,0.449484536,1029,0.530412371,39,0.020103093,1940,710,0.437461491,894,0.550831793,19,0.011706716,1623,605,0.385595921,933,0.594646272,31,0.019757808,1569,369,0.259676284,977,0.687543983,75,0.052779733,1421,525,0.3287414,1042,0.65247339,1597,2.3,3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3924,3736,16,994.94,252.73,677.22998,62.049999,,,19.709999,,2.9300001,,,,,89.75,96.400002,19.17,,9.8500004,,,,,,66.580002,84125,22500,3.7,12.9,,12.11,12.67,,22.1,9.4300003,7799,,87.599998,48,51,1706.83,4.2118754,478,8
840,St. Joseph,IN,18141,41.61756781,-86.29040834,271826,241617,,1185826798,458.0250282,582.7869299,47703,0.489392043,47581,0.488140427,905,0.009284527,1285,0.013183003,97474,52637,0.484602141,55254,0.508695532,728,0.006702326,108619,68710,0.580374866,48510,0.409750906,1169,0.009874228,118389,56460,0.510008672,52578,0.474942188,1666,0.01504914,110704,52252,0.474759222,52021,0.472660367,5787,0.052580411,110060,59870,0.51814413,53152,0.46000329,115547,588.90002,266931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271656,174926,273,655.32001,320.37,197.3,103.27,12.36,0.66000003,4.5599999,0.46000001,0.44999999,8.3100004,2.72,1.4299999,1.05,2.6500001,12.2,5.4699998,5.3800001,1.88,35.5,6.8699999,7,5.6500001,3.8399999,290.88,91187,20051,4.5,11.29,342.37,13.58,12.63,18.879999,13.78,5.8800001,9120,52.939999,45.490002,71,62,461.29999,1.6304349,20409,267
840,Sheridan,WY,56033,44.79048913,-106.8862389,30485,25048,,6537112725,2524.956634,11.53128716,3330,0.272147761,8424,0.688460281,208,0.016999019,274,0.022392939,12236,4066,0.289828213,9689,0.690640815,274,0.019530972,14029,4458,0.296429284,10177,0.676707228,404,0.026863488,15039,3618,0.252618349,10267,0.716869152,437,0.030512498,14322,2927,0.20172295,10266,0.707512061,1317,0.09076499,14510,4043,0.24610421,11843,0.72090334,16428,12.1,29116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30650,12581,51,432.10001,112.17,145.00999,122.85,,,3.1600001,,0.41,,7.25,,3.6700001,32.110001,44.509998,26.309999,49.869999,3.98,30.459999,15.35,14,3.26,2.27,10.34,102402,23361,4.4000001,16.66,108.56,12.73,10.78,11.08,14.19,7.3600001,6404,88.470001,29.559999,6,5,2527.01,4.5455804,2213,12
840,Graham,AZ,4009,32.93166885,-109.8882178,38837,22862,828,11972471194,4624.361218,8.048679211,3355,0.347164735,6007,0.621585265,144,0.014900662,158,0.016349338,9664,3185,0.297108209,7467,0.696548507,68,0.006343284,10720,3487,0.290413925,8376,0.697593071,144,0.011993004,12007,3609,0.304428511,8076,0.681231548,170,0.014339941,11855,3301,0.162562789,8025,0.395203388,808,0.039791195,20306,4034,0.26905888,10747,0.71680117,14993,8.5,37220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39219,20563,65,552.46997,15.07,166.42,53.330002,,,5.75,,0.73000002,1.4,,0.38,4.4299998,0.99000001,1.77,0.40000001,316.12,2.74,17.950001,2.1500001,7,2.98,,10.16,86812,18503,4.6999998,5.04,430.85999,16.450001,12.91,16.780001,13.15,9.0900002,8287,69.389999,71.459999,8,10,4641.2202,4.9688573,2419,38
840,Carroll,IA,19027,42.03617207,-94.86032705,20165,22951,,1474835105,569.6543472,36.54145729,4463,0.466450669,4879,0.50992893,146,0.015259197,80,0.008361204,9568,4689,0.445553022,5762,0.547510452,73,0.006936526,10524,5302,0.510445749,4922,0.473861558,163,0.015692693,10387,4947,0.463462619,5601,0.524732996,126,0.011804384,10674,3309,0.313827769,6638,0.629552352,597,0.056619879,10544,3454,0.30550149,7737,0.68432689,11306,36.400002,20816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20733,18335,46,880.81,137.39,573.73999,160.25999,,,10.57,,0.050000001,7.4000001,8.5500002,,,0.43000001,23.200001,113.28,9.3699999,,28.540001,22.959999,,,,82.239998,94252,22212,4.1999998,22.440001,87.459999,9,9.9399996,,5.6700001,3.24,8147,57.459999,30.5,14,13,570.31,1.6122063,2099,26
840,Westmoreland,VA,51193,38.11021557,-76.80213247,18015,14041,,594077407,229.4621116,76.0648452,2922,0.484898772,2932,0.486558248,88,0.014603385,84,0.013939595,6026,3370,0.492114486,3433,0.501314252,45,0.006571262,6848,4577,0.546376985,3719,0.443953683,81,0.009669333,8377,4295,0.528940887,3731,0.459482759,94,0.011576355,8120,3836,0.447399114,4448,0.5187777,290,0.033823186,8574,4453,0.45194358,5286,0.53648633,9853,79.199997,17454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18391,7154,30,409.88,131.25999,98.949997,179.33,,,5.27,,0.34,,,,,46.349998,,,,,27.84,,146,,,84.910004,102126,23675,4.3000002,20.42,145.16,14.9,11.79,26.57,16.83,7.3699999,8796,32.490002,29.719999,89,80,232.12,1.4080075,498,8
840,Twin Falls,ID,16083,42.35440512,-114.6685381,86878,52927,,4975917336,1921.945669,40.18323788,5777,0.256413671,15794,0.701020861,310,0.013759432,649,0.028806036,22530,6458,0.244297333,19672,0.744164933,305,0.011537734,26435,8621,0.304156082,19032,0.67146486,691,0.024379057,28344,7541,0.267962476,19773,0.702615308,828,0.029422216,28142,6233,0.208642967,19828,0.663720961,3813,0.127636072,29874,9391,0.25602508,25897,0.70602506,36680,44.299999,77230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85480,38659,128,500.57001,59.98,75.440002,110.32,2.3199999,10.67,12.83,,0.82999998,8.8400002,2.1800001,,1.85,5.8299999,2.1500001,21.57,246.02,14.24,24.67,5.3099999,4,5.1500001,,12.7,84231,21025,4,9.9499998,246.84,14.71,12,15.8,18.91,7.02,9016,71.529999,23.690001,16,17,1928.11,3.7226701,7247,101
