county_name,state_po,FIPS,Lat,Lon,pop_relgiondata,totadh,totcng,totrate,mprtrate,cathrate,evanrate,bprtrate,abcrate,agrate,amerate,bahrate,ccccrate,ccdcrate,cgctrate,chchrate,ecrate,elcarate,lcmsrate,ldsrate,nazrate,nondrate,pcrate,sbcrate,sdacrate,uccrate,umcrate,chr_pctile_inc_80,chr_pctile_inc_20,chr_inc_ratio,chr_soc_association_rate,chr_crime_rate,chr_pct_svr_housing_prblms,chr_pct_mental_distress,chr_overdose_mortality_rt,chr_pct_adult_no_ins,chr_pct_child_no_ins,chr_hlthcare_costs,chr_seg_ind_bw,chr_seg_ind_non_w,chr_life_quality_rank,chr_soc_econ_rank,sqmi,shape_leng,c333,d334,FIPS2
Jenkins,GA,"13165","32.79248718","-81.96040187","9170","5269","25","631.77002","87.169998","15.83","460.19","68.230003",,,"45.439999","0.36000001",,,"13.79",,,,,,,"13.55",,"430",,,"87.169998","67154","9667","6.9000001","8.9300003",,"23.75","14.13",,"21.82","6.73","10983","0.34999999","0.039999999","130","153","352.37","1.1673466","503","34","13165"
Camden,NC,"37029","36.33804939","-76.15568396","10475","3356","19","336.26999","77.660004",,"134.37","124.25",,"2.4000001",,,"38.48",,,,,,,,,,,"87",,,"77.660004","102031","24699","4.0999999","10.67","62.240002","13.16","11.12",,"12.72","5.9000001","9151","5.1700001","0.059999999","5","6","240.64","1.5465797","208","4","37029"
Stewart,GA,"13259","32.07996777","-84.83208037","5798","2007","21","331.29999","67.349998",,"129.09","121",,"5.7800002","121","13.87",,,,"1.65",,,,,,,,"122",,,"67.349998","56813","9150","6.1999998","11.96","48.080002","13.97","15.51",,"23.209999","7.8099999","7878","0.91000003","0.17","152","150","463.56","1.5326638","635","17","13259"
Rio Blanco,CO,"8103","39.97913541","-108.2179009","6462","2995","25","449.29001","65.110001","90.610001","134.86",,"5.5500002","12.45",,"0.44999999","33.450001",,,"5.25","15",,"3.75","158.27",,"10.5",,"69",,,"44.549999","99737","23594","4.1999998","13.7","101.26","12.29","10.22",,"10.93","7.6900001","10105",,"0.31999999","5","40","3222.8601","5.1270785","184","2","08103"
Woodson,KS,"20207","37.8865336","-95.74006277","3147","1722","13","520.40002","226.05","120.88","173.47",,,"6.04",,,"17.83","65.279999",,,"11.79",,,,,,"12.09","123",,,"136.89999","64957","14530","4.5","22.469999","214.72","10.67","11.84",,"14.89","6.75","10966",,"0.34999999","93","101","505.23001","1.4984218","81","0","20207"
Madison,VA,"51113","38.41531222","-78.28220331","13930","5032","36","378.12","144.8","25.32","170.12",,,,,"0.30000001",,"21.42","2.3299999",,"12.85","17.809999",,,,"48.32","15.18","85","4.96",,"77.550003","94378","22091","4.3000002","11.42","83.129997","16.09","12.04",,"16.030001","7.9400001","7845","21.370001","0.46000001","56","46","321.82001","1.2043201","210","4","51113"
Webster,GA,"13307","32.04066113","-84.54742852","2833","1026","5","366.56","21.790001",,"276.53","66.809998",,,,"1.4299999",,,,"19.290001",,,,,,,,"257",,,"21.790001","80461","12403","6.5","11.33","96.019997","12.77","13.04",,"19.08","8.3999996","8469","0.56999999","0.5","144","149","210.24001","1.1027807","63","2","13307"
Northampton,VA,"51131","37.34062933","-75.87751591","12476","5337","36","430.79001","182.34","29.219999","132.05","86.849998",,,"86.849998","0.31999999",,,,,"23.969999",,,,"2.02",,"7.4299998","122","6.2199998",,"150.94","81571","12965","6.3000002","15.63","125.05","14.42","12.68",,"17.950001","9.3400002","9143","2.4100001","0.56","96","120","207.03999","1.1873074","360","31","51131"
Grant,OK,"40053","36.796297","-97.78638765","4547","4295","31","948.75","478.89999","37.549999","431.63",,,"15.24",,"0.66000003","74.440002","197.7",,"33.580002",,,"8.8400002",,"9.7200003",,,"290",,,"281.20001","94875","27704","3.4000001","22.110001","43.889999","4.5799999","11.68",,"15.71","9.1499996","9977",,"0.74000001","7","3","1003.55","2.0993161","239","5","40053"
Juab,UT,"49023","39.70208397","-112.7809245","10820","8551","21","834.57001","3.1199999","14.15",,,,,,"0.1",,,,,,,,"817.20001",,,,,,,"3.1199999","87264","27761","3.0999999","0.94","67.07","16.799999","11.24",,"15","9.1899996","9614",,"0.88999999","7","11","3406.1499","6.4784465","0","0","49023"
Nicholas,KY,"21181","38.33342292","-84.01889177","7141","2742","23","384.29999","147.44","10.93","225.78999",,,,,"0.14","106.52","14.02",,"5.0500002",,,,,,,"9.8100004","97","3.0799999",,"123.62","79074","17068","4.5999999","11.22","75.940002","8.7399998","14.82",,"8.9300003","6.8200002","10534",,"0.89999998","91","79","196.91","1.017857","191","3","21181"
Clay,NE,"31035","40.52439441","-98.05126296","6457","4061","28","620.76001","333.69","132.07001","155",,,,,,"82.239998",,,,"1.99","117.7","1.83",,,,"46.470001",,"4.2800002","95.080002","72.449997","86316","26047","3.3","19.02",,"8.1899996","9.9499998",,"13.39","9.0500002","8165",,"1.01","58","45","573.58002","1.6237557","466","4","31035"
Stafford,KS,"20185","38.03100851","-98.71762001","4325","2521","19","568.17999","305.84","73.699997","188.42",,"62.200001",,,"0.23",,"74.830002",,"49.130001",,,,,,"33.810001","10.59","19",,,"158.22","92805","22929","4","33.049999","260.06","8","11.13",,"18.84","10.99","9723",,"1.09","37","76","794.71997","1.9492207","227","5","20185"
