Jurisdiction,Reading Avg,Reading SE,Math Avg,Math SE,Science Avg,Science SE
Selected countries and jurisdictions,453,0.3,459,0.3,458,0.3
Australia,503,1.6,491,1.9,503,1.8
Austria,484,2.7,499,3.0,490,2.8
Belgium,493,2.3,508,2.3,499,2.2
Canada,520,1.8,512,2.4,518,2.2
Chile,452,2.6,417,2.4,444,2.4
Colombia,412,3.3,391,3.0,413,3.1
Czech Republic,490,2.5,499,2.5,497,2.5
Denmark,501,1.8,509,1.7,493,1.9
Estonia,523,1.8,523,1.7,530,1.9
Finland,520,2.3,507,2.0,522,2.5
France,493,2.3,495,2.3,493,2.2
Germany,498,3.0,500,2.6,503,2.9
Greece,457,3.6,451,3.1,452,3.1
Hungary,476,2.3,481,2.3,481,2.3
Iceland,474,1.7,495,2.0,475,1.8
Ireland,518,2.2,500,2.2,496,2.2
Israel,470,3.7,463,3.5,462,3.6
Italy,476,2.4,487,2.8,468,2.4
Japan,504,2.7,527,2.5,529,2.6
Korea,514,2.9,526,3.1,519,2.8
Latvia,479,1.6,496,2.0,487,1.8
Lithuania,476,1.5,481,2.0,482,1.6
Luxembourg,470,1.1,483,1.1,477,1.2
Mexico,420,2.7,409,2.5,419,2.6
Netherlands,485,2.7,519,2.6,503,2.8
New Zealand,506,2.0,494,1.7,508,2.1
Norway,499,2.2,501,2.2,490,2.3
Poland,512,2.7,516,2.6,511,2.6
Portugal,492,2.4,492,2.7,492,2.8
Slovakia,458,2.2,486,2.6,464,2.3
Slovenia,495,1.2,509,1.4,507,1.3
Spain,.,.,481,1.5,483,1.6
Sweden,506,3.0,502,2.7,499,3.1
Switzerland,484,3.1,515,2.9,495,3.0
Turkey,466,2.2,454,2.3,468,2.0
United Kingdom,504,2.6,502,2.6,505,2.6
United States,505,3.6,478,3.2,502,3.3
Albania,405,1.9,437,2.4,417,2.0
Algeria,.,.,.,.,.,.
Argentina,402,3.0,379,2.8,404,2.9
Azerbaijan,389,2.5,420,2.8,398,2.4
Belarus,474,2.4,472,2.7,471,2.4
Bosnia and Herzegovina,403,2.9,406,3.1,398,2.7
Brazil,413,2.1,384,2.0,404,2.1
Brunei Darussalam,408,0.9,430,1.2,431,1.2
China,555,2.7,591,2.5,590,2.7
Bulgaria,420,3.9,436,3.8,424,3.6
Taiwan,503,2.8,531,2.9,516,2.9
Costa Rica,426,3.4,402,3.3,416,3.3
Croatia,479,2.7,464,2.5,472,2.8
Cyprus,424,1.4,451,1.4,439,1.4
Dominican Republic,342,2.9,325,2.6,336,2.5
Georgia,380,2.2,398,2.6,383,2.3
Hong Kong,524,2.7,551,3.0,517,2.5
Indonesia,371,2.6,379,3.1,396,2.4
Jordan,419,2.9,400,3.3,429,2.9
Kazakhstan,387,1.5,423,1.9,397,1.7
Kosovo,353,1.1,366,1.5,365,1.2
Lebanon,353,4.3,393,4.0,384,3.5
Macao,525,1.2,558,1.5,544,1.5
Malaysia,415,2.9,440,2.9,438,2.7
Malta,448,1.7,472,1.9,457,1.9
Moldova,424,2.4,421,2.4,428,2.3
Montenegro,421,1.1,430,1.2,415,1.3
Morocco,359,3.1,368,3.3,377,3.0
North Macedonia,393,1.1,394,1.6,413,1.4
Panama,377,3.0,353,2.7,365,2.9
Peru,401,3.0,400,2.6,404,2.7
Philippines,340,3.3,353,3.5,357,3.2
Qatar,407,0.8,414,1.2,419,0.9
Romania,428,5.1,430,4.9,426,4.6
Russia,479,3.1,488,3.0,478,2.9
Saudi Arabia,399,3.0,373,3.0,386,2.8
Serbia,439,3.3,448,3.2,440,3.0
Singapore,549,1.6,569,1.6,551,1.5
Thailand,393,3.2,419,3.4,426,3.2
Trinidad and Tobago,.,.,.,.,.,.
Tunisia,.,.,.,.,.,.
Ukraine,466,3.5,453,3.6,469,3.3
United Arab Emirates,432,2.3,435,2.1,434,2.0
Uruguay,427,2.8,418,2.6,426,2.5
Vietnam,487,.,495,.,525,.
