country,Code,OWIDTrust
Netherlands,NLD,66.1757
Sweden,SWE,63.75839
China,CHN,62.69384
New Zealand,NZL,56.22733
Australia,AUS,54.43383
Hong Kong,HKG,48.33837
Germany,DEU,42.03041
Kazakhstan,KAZ,38.8
Singapore,SGP,38.51626
Estonia,EST,38.51175
Yemen,YEM,38.5
United States,USA,38.17277
Kyrgyzstan,KGZ,37.72538
Japan,JPN,35.93942
Bahrain,BHR,33.5
India,IND,32.95383
Belarus,BLR,32.80737
Thailand,THA,32.57384
Iraq,IRQ,30
South Korea,KOR,29.67309
Taiwan,TWN,29.63563
Kuwait,KWT,29.15361
Russia,RUS,27.73516
Ukraine,UKR,23.71274
Pakistan,PAK,23.54949
South Africa,ZAF,23.50609
Argentina,ARG,22.64706
Poland,POL,22.25673
Qatar,QAT,21.4151
Egypt,EGY,20.55154
Slovenia,SVN,19.98124
Spain,ESP,19.01944
Algeria,DZA,17.92863
Rwanda,RWA,16.63392
Azerbaijan,AZE,16.16766
Palestine,PSE,15.8
Tunisia,TUN,15.51867
Nigeria,NGA,14.78113
Uruguay,URY,14.43515
Uzbekistan,UZB,13.92236
Jordan,JOR,13.25
Chile,CHL,12.64016
Morocco,MAR,12.44743
Mexico,MEX,12.4062
Turkey,TUR,12.00762
Libya,LBY,11.00614
Armenia,ARM,10.01821
Lebanon,LBN,9.83333
Cyprus,CYP,9.02708
Georgia,GEO,8.81864
Malaysia,MYS,8.53846
Peru,PER,8.21577
Zimbabwe,ZWE,7.2
Ecuador,ECU,7.1607
Romania,ROU,7.07138
Brazil,BRA,6.52759
Ghana,GHA,4.96134
Colombia,COL,4.12783
Trinidad and Tobago,TTO,3.2032
Philippines,PHL,2.83333
