iso_code,continent,location,date,TV,PV,FV,TVPH,PVPH,FVPH,population,HDI
AFG,Asia,Afghanistan,3/13/21,,,,,,,38928341,0.511
OWID_AFR,,Africa,3/13/21,,,,,,,1340598113,
ALB,Europe,Albania,3/13/21,,,,,,,2877800,0.795
DZA,Africa,Algeria,3/13/21,,,,,,,43851043,0.748
AND,Europe,Andorra,3/13/21,,,,,,,77265,0.868
AGO,Africa,Angola,3/13/21,,,,,,,32866268,0.581
ATG,North America,Antigua and Barbuda,3/13/21,,,,,,,97928,0.778
ARG,South America,Argentina,3/13/21,2294738,1876113,418625,5.08,4.15,0.93,45195777,0.845
ARM,Asia,Armenia,3/13/21,,,,,,,2963234,0.776
OWID_ASI,,Asia,3/13/21,,,,,,,4639847425,
AUS,Oceania,Australia,3/13/21,159294,159294,,0.62,0.62,,25499881,0.944
AUT,Europe,Austria,3/13/21,,,,,,,9006400,0.922
AZE,Asia,Azerbaijan,3/13/21,450316,450316,,4.44,4.44,,10139175,0.756
BHS,North America,Bahamas,3/13/21,,,,,,,393248,0.814
BHR,Asia,Bahrain,3/13/21,534625,322508,212117,31.42,18.95,12.47,1701583,0.852
BGD,Asia,Bangladesh,3/13/21,,,,,,,164689383,0.632
BRB,North America,Barbados,3/13/21,,,,,,,287371,0.814
BLR,Europe,Belarus,3/13/21,,,,,,,9449321,0.823
BEL,Europe,Belgium,3/13/21,,,,,,,11589616,0.931
BLZ,North America,Belize,3/13/21,,,,,,,397621,0.716
BEN,Africa,Benin,3/13/21,,,,,,,12123198,0.545
BTN,Asia,Bhutan,3/13/21,,,,,,,771612,0.654
BOL,South America,Bolivia,3/13/21,137787,127836,9951,1.18,1.1,0.09,11673029,0.718
BIH,Europe,Bosnia and Herzegovina,3/13/21,,,,,,,3280815,0.78
BWA,Africa,Botswana,3/13/21,,,,,,,2351625,0.735
BRA,South America,Brazil,3/13/21,11362190,8512960,2849230,5.35,4,1.34,212559409,0.765
BRN,Asia,Brunei,3/13/21,,,,,,,437483,0.838
BGR,Europe,Bulgaria,3/13/21,337904,280137,57767,4.86,4.03,0.83,6948445,0.816
BFA,Africa,Burkina Faso,3/13/21,,,,,,,20903278,0.452
BDI,Africa,Burundi,3/13/21,,,,,,,11890781,0.433
KHM,Asia,Cambodia,3/13/21,161818,161818,,0.97,0.97,,16718971,0.594
CMR,Africa,Cameroon,3/13/21,,,,,,,26545864,0.563
CAN,North America,Canada,3/13/21,2934007,2340676,593331,7.77,6.2,1.57,37742157,0.929
CPV,Africa,Cape Verde,3/13/21,,,,,,,555988,0.665
CAF,Africa,Central African Republic,3/13/21,,,,,,,4829764,0.397
TCD,Africa,Chad,3/13/21,,,,,,,16425859,0.398
CHL,South America,Chile,3/13/21,6581943,4804999,1776944,34.43,25.14,9.3,19116209,0.851
CHN,Asia,China,3/13/21,,,,,,,1439323774,0.761
COL,South America,Colombia,3/13/21,,,,,,,50882884,0.767
COM,Africa,Comoros,3/13/21,,,,,,,869595,0.554
COG,Africa,Congo,3/13/21,,,,,,,5518092,0.574
CRI,North America,Costa Rica,3/13/21,,,,,,,5094114,0.81
CIV,Africa,Cote d'Ivoire,3/13/21,,,,,,,26378275,0.538
HRV,Europe,Croatia,3/13/21,,,,,,,4105268,0.851
CUB,North America,Cuba,3/13/21,,,,,,,11326616,0.783
CYP,Europe,Cyprus,3/13/21,,,,,,,875899,0.887
CZE,Europe,Czechia,3/13/21,1068683,770507,298176,9.98,7.19,2.78,10708982,0.9
