zip,neighborhood_name,borough_group,covid_case_count,covid_case_rate,covid_percent_positive,pop_denominator,covid_death_count,covid_death_rate,total_covid_tests,num_peop_test,num_peop_pos,percent_positive,test_rate
10001,Chelsea/NoMad/West Chelsea,Manhattan,485,2058.31,4.59,23563.03,28,118.83,10570,8678,1316,15.2,36828.88
10002,Chinatown/Lower East Side,Manhattan,1486,1936.02,5.77,76755.41,160,208.45,25772,22828,3656,16,29741.22
10003,East Village/Gramercy/Greenwich Village,Manhattan,735,1366.13,2.72,53801.62,35,65.05,27040,15761,2240,14.2,29294.66
10004,Financial District,Manhattan,58,1588.78,3.96,3650.61,1,27.39,1465,1231,153,12.4,33720.43
10005,Financial District,Manhattan,121,1441.14,3.64,8396.11,2,23.82,3322,2684,387,14.4,31967.2
10006,Financial District,Manhattan,52,1503.86,4,3457.77,0,0,1301,1173,157,13.4,33923.59
10007,TriBeCa,Manhattan,95,1151.55,2.89,8249.73,3,36.36,3292,2719,341,12.5,32958.65
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,982,1671.55,4.13,58747.99,70,119.15,23788,17168,2608,15.2,29223.13
10010,Flatiron/Gramercy/Kips Bay,Manhattan,427,1319.05,2.78,32371.86,19,58.69,15371,9979,1325,13.3,30826.16
10011,Chelsea,Manhattan,761,1537.36,3.54,49500.52,43,86.87,21515,17173,2428,14.1,34692.57
10012,Greenwich Village/SoHo,Manhattan,324,1351.06,2.91,23981.2,9,37.53,11124,6820,907,13.3,28438.94
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,377,1298.61,2.82,29031.09,22,75.78,13358,10870,1447,13.3,37442.61
10014,Hudson Square/Meatpacking District/West Village,Manhattan,473,1523.69,3.35,31043.16,29,93.42,14116,10416,1402,13.5,33553.29
10016,Kips Bay/Murray Hill/NoMad,Manhattan,982,1869.61,4.31,52524.35,49,93.29,22766,16775,2361,14.1,31937.57
10017,East Midtown/Murray Hill,Manhattan,206,1277.34,3.3,16127.22,8,49.61,6246,5791,701,12.1,35908.24
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,230,2413.07,6.16,9531.44,6,62.95,3732,4930,690,14,51723.56
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,800,1968.92,4.24,40631.45,43,105.83,18857,15309,2378,15.5,37677.71
10020,,,,,,,,,,,,,
10021,Lenox Hill/Upper East Side,Manhattan,747,1690.98,3.99,44175.61,65,147.14,18737,16176,2038,12.6,36617.49
10022,East Midtown,Manhattan,474,1562.56,3.82,30334.8,33,108.79,12415,11388,1400,12.3,37541.04
10023,Lincoln Square,Manhattan,776,1287.44,3.32,60274.81,54,89.59,23362,19370,2324,12,32136.15
10024,Upper West Side,Manhattan,954,1663.83,3.84,57337.68,75,130.8,24874,18656,2544,13.6,32537.07
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1751,1896.39,4.11,92333.47,182,197.11,42559,26287,4185,15.9,28469.63
10026,Central Harlem (South),Manhattan,846,2168.23,6.26,39018.03,50,128.15,13507,9523,1995,20.9,24406.67
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1306,2052.46,5.53,63631.04,117,183.87,23629,14910,3240,21.7,23431.96
10028,Upper East Side/Yorkville,Manhattan,653,1328.45,3.69,49155.08,34,69.17,17709,15752,1978,12.6,32045.52
10029,East Harlem,Manhattan,2242,2843.68,7.98,78841.52,212,268.89,28082,17826,4236,23.8,22609.91
10030,Central Harlem (North),Manhattan,632,2155.38,6.85,29321.91,58,197.8,9223,6524,1641,25.2,22249.57
10031,Hamilton Heights/West Harlem,Manhattan,1725,2848.56,8.52,60556.93,136,224.58,20258,17818,5499,30.9,29423.55
10032,Washington Heights (South),Manhattan,1942,3158.11,8.99,61492.57,175,284.59,21597,17898,5776,32.3,29105.96
10033,Washington Heights (North)/Washington Heights (South),Manhattan,1711,2889.69,8.59,59210.43,123,207.73,19915,18407,5866,31.9,31087.43
10034,Inwood/Washington Heights (North),Manhattan,986,2289.1,7.4,43073.65,72,167.16,13316,12841,3933,30.6,29811.73
10035,East Harlem,Manhattan,1210,3514.72,8.85,34426.65,137,397.95,13676,8303,2202,26.5,24117.94
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,596,2273.83,4.9,26211.25,40,152.61,12173,9899,1823,18.4,37766.22
10037,Central Harlem (North)/East Harlem,Manhattan,626,3031.53,8.45,20649.62,66,319.62,7412,5482,1346,24.6,26547.7
10038,Chinatown/Financial District,Manhattan,369,1673.62,4.42,22047.96,28,127,8342,6420,868,13.5,29118.34
10039,Central Harlem (North)/Washington Heights (South),Manhattan,663,2505.9,8.11,26457.52,66,249.46,8171,6305,1685,26.7,23830.66
10040,Washington Heights (North),Manhattan,1412,3151.2,8.83,44808.28,121,270.04,16000,13637,4333,31.8,30434.11
10044,Roosevelt Island,Manhattan,279,2384.56,6.83,11700.29,36,307.68,4084,2762,457,16.5,23606.25
10045,,,,,,,,,,,,,
10065,Lenox Hill/Upper East Side,Manhattan,439,1510.59,3.38,29061.49,28,96.35,12970,10410,1248,12,35820.6
10069,Lincoln Square,Manhattan,85,1341.09,2.93,6338.13,2,31.56,2905,2018,245,12.1,31839.05
10075,Lenox Hill/Upper East Side,Manhattan,505,2136.74,4.68,23634.14,48,203.1,10791,8931,1187,13.3,37788.56
10115,,,,,,,,,,,,,
10119,,,,,,,,,,,,,
10128,Upper East Side/Yorkville,Manhattan,827,1347.96,3.4,61351.93,42,68.46,24298,19922,2402,12.1,32471.67
10154,,,,,,,,,,,,,
10278,,,,,,,,,,,,,
10280,Battery Park City,Manhattan,72,748.54,2.57,9618.7,0,0,2801,2298,270,11.7,23890.97
10282,Battery Park City,Manhattan,89,1613.65,4.91,5515.44,14,253.83,1811,1508,179,11.9,27341.42
10301,Silver Lake/St. George,Staten Island,1484,3746.19,10.61,39613.55,108,272.63,13992,8547,1737,20.3,21575.95
10302,Elm Park,Staten Island,754,4016.2,12.69,18773.99,32,170.45,5944,3354,865,25.8,17865.15
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,1025,3907.49,11.94,26231.66,48,182.99,8584,4473,1087,24.3,17051.92
