iso3,lancetregion
MAC,East Asia Pacific
MHL,East Asia Pacific
MNP,East Asia Pacific
AUS,East Asia Pacific
MNG,East Asia Pacific
CHN,East Asia Pacific
TWN,East Asia Pacific
HKG,East Asia Pacific
TLS,East Asia Pacific
MMR,East Asia Pacific
MYS,East Asia Pacific
VUT,East Asia Pacific
MHL,East Asia Pacific
VUT,East Asia Pacific
FJI,East Asia Pacific
PHL,East Asia Pacific
KOR,East Asia Pacific
SLB,East Asia Pacific
IDN,East Asia Pacific
VNM,East Asia Pacific
NZL,East Asia Pacific
BRN,East Asia Pacific
KHM,East Asia Pacific
NCL,East Asia Pacific
THA,East Asia Pacific
LAO,East Asia Pacific
JPN,East Asia Pacific
SGP,East Asia Pacific
HKG,East Asia Pacific
PNG,East Asia Pacific
TLS,East Asia Pacific
REU,East Asia Pacific
SLB,East Asia Pacific
WLF,East Asia Pacific
SVK,Europe
FIN,Europe
BGR,Europe
NLD,Europe
HUN,Europe
CHE,Europe
GBR,Europe
GRL,Europe
PRT,Europe
SMR,Europe
ESP,Europe
LUX,Europe
JEY,Europe
AND,Europe
BIH,Europe
FRA,Europe
VAT,Europe
DNK,Europe
RKS,Europe
NOR,Europe
SVN,Europe
ROU,Europe
ISL,Europe
ITA,Europe
IMN,Europe
RUS,Europe
UKR,Europe
IRL,Europe
MDA,Europe
FRO,Europe
AUT,Europe
POL,Europe
CZE,Europe
BLR,Europe
LVA,Europe
PYF,Europe
CYP,Europe
DEU,Europe
HRV,Europe
MNE,Europe
MKD,Europe
MLT,Europe
BEL,Europe
SWE,Europe
LIE,Europe
EST,Europe
ALB,Europe
SRB,Europe
MCO,Europe
VAT,Europe
GGY,Europe
GRC,Europe
LTU,Europe
GIB,Europe
PRY,LAC
MSR,LAC
SXM,LAC
CYM,LAC
BRA,LAC
HTI,LAC
ARG,LAC
SUR,LAC
NIC,LAC
TCA,LAC
CUW,LAC
PER,LAC
VGB,LAC
FLK,LAC
VCT,LAC
BES,LAC
PRI,LAC
BOL,LAC
TTO,LAC
PAN,LAC
VIR,LAC
AIA,LAC
CHL,LAC
DOM,LAC
BRB,LAC
GRD,LAC
GUY,LAC
BMU,LAC
VEN,LAC
ATG,LAC
MEX,LAC
URY,LAC
HND,LAC
BHS,LAC
JAM,LAC
SLV,LAC
ABW,LAC
CUB,LAC
GTM,LAC
COL,LAC
KNA,LAC
CRI,LAC
DMA,LAC
ECU,LAC
LCA,LAC
BLZ,LAC
YEM,Middle East and North Africa
ISR,Middle East and North Africa
BHR,Middle East and North Africa
KWT,Middle East and North Africa
TUN,Middle East and North Africa
PSE,Middle East and North Africa
QAT,Middle East and North Africa
AZE,Middle East and North Africa
LBY,Middle East and North Africa
MAR,Middle East and North Africa
EGY,Middle East and North Africa
SYR,Middle East and North Africa
OMN,Middle East and North Africa
SDN,Middle East and North Africa
GEO,Middle East and North Africa
ESH,Middle East and North Africa
IRQ,Middle East and North Africa
ARE,Middle East and North Africa
LBN,Middle East and North Africa
JOR,Middle East and North Africa
DZA,Middle East and North Africa
SAU,Middle East and North Africa
TUR,Middle East and North Africa
ARM,Middle East and North Africa
CAN,Northern America
USA,Northern America
GUM,Northern America
NPL,Other Asia
TJK,Other Asia
IND,Other Asia
KGZ,Other Asia
IRN,Other Asia
LKA,Other Asia
KAZ,Other Asia
TKM,Other Asia
UZB,Other Asia
BGD,Other Asia
MDV,Other Asia
BTN,Other Asia
AFG,Other Asia
PAK,Other Asia
GIN,Sub-Saharan Africa
MLI,Sub-Saharan Africa
NER,Sub-Saharan Africa
KEN,Sub-Saharan Africa
SOM,Sub-Saharan Africa
COM,Sub-Saharan Africa
MWI,Sub-Saharan Africa
RWA,Sub-Saharan Africa
GHA,Sub-Saharan Africa
SLE,Sub-Saharan Africa
SWZ,Sub-Saharan Africa
GAB,Sub-Saharan Africa
LBR,Sub-Saharan Africa
BFA,Sub-Saharan Africa
AGO,Sub-Saharan Africa
NGA,Sub-Saharan Africa
ETH,Sub-Saharan Africa
NAM,Sub-Saharan Africa
TGO,Sub-Saharan Africa
MOZ,Sub-Saharan Africa
GNB,Sub-Saharan Africa
TZA,Sub-Saharan Africa
GMB,Sub-Saharan Africa
CPV,Sub-Saharan Africa
SSD,Sub-Saharan Africa
SEN,Sub-Saharan Africa
MDG,Sub-Saharan Africa
BDI,Sub-Saharan Africa
COG,Sub-Saharan Africa
NAM,Sub-Saharan Africa
MRT,Sub-Saharan Africa
ERI,Sub-Saharan Africa
UGA,Sub-Saharan Africa
CIV,Sub-Saharan Africa
TCD,Sub-Saharan Africa
BWA,Sub-Saharan Africa
GNQ,Sub-Saharan Africa
COD,Sub-Saharan Africa
CMR,Sub-Saharan Africa
SYC,Sub-Saharan Africa
LSO,Sub-Saharan Africa
MUS,Sub-Saharan Africa
STP,Sub-Saharan Africa
CAF,Sub-Saharan Africa
DJI,Sub-Saharan Africa
BEN,Sub-Saharan Africa
ZAF,Sub-Saharan Africa
ZMB,Sub-Saharan Africa
ZWE,Sub-Saharan Africa
SDS,Middle East and North Africa
SOL,Sub-Saharan Africa
PRK,East Asia Pacific
