state,Red-Blue,stateid,Unemployment ,Covid7D1-27-21,Unemployment avg (blue),Unemployment avg (red),Covidavg (blue),Covid avg (red)
Hawaii,Blue,HI,9.3,7.5,6.9,5.0,44.4,46.0
Nevada,Blue,NV,9.2,42.2,6.9,5.0,44.4,46.0
California,Blue,CA,9.0,58.9,6.9,5.0,44.4,46.0
Colorado,Blue,CO,8.4,28.0,6.9,5.0,44.4,46.0
New Mexico,Blue,NM,8.2,37.0,6.9,5.0,44.4,46.0
New York,Blue,NY,8.2,68.0,6.9,5.0,44.4,46.0
Rhode Island,Blue,RI,8.1,98.6,6.9,5.0,44.4,46.0
Connecticut,Blue,CT,8.0,54.1,6.9,5.0,44.4,46.0
District of Columbia,Blue,DC,7.9,29.8,6.9,5.0,44.4,46.0
Illinois,Blue,IL,7.6,36.7,6.9,5.0,44.4,46.0
New Jersey,Blue,NJ,7.6,57.7,6.9,5.0,44.4,46.0
Arizona,Blue,AZ,7.5,95.4,6.9,5.0,44.4,46.0
Michigan,Blue,MI,7.5,21.4,6.9,5.0,44.4,46.0
Massachusetts,Blue,MA,7.4,57.8,6.9,5.0,44.4,46.0
Washington,Blue,WA,7.1,22.9,6.9,5.0,44.4,46.0
Pennsylvania,Blue,PA,6.7,40.2,6.9,5.0,44.4,46.0
Oregon,Blue,OR,6.4,16.0,6.9,5.0,44.4,46.0
Maryland,Blue,MD,6.3,34.1,6.9,5.0,44.4,46.0
Georgia,Blue,GA,5.6,67.1,6.9,5.0,44.4,46.0
Wisconsin,Blue,WI,5.5,32.2,6.9,5.0,44.4,46.0
Delaware,Blue,DE,5.3,62.8,6.9,5.0,44.4,46.0
Maine,Blue,ME,4.9,36.6,6.9,5.0,44.4,46.0
Virginia,Blue,VA,4.9,54.0,6.9,5.0,44.4,46.0
Minnesota,Blue,MN,4.4,21.4,6.9,5.0,44.4,46.0
New Hampshire,Blue,NH,4.0,51.5,6.9,5.0,44.4,46.0
Vermont,Blue,VT,3.1,21.6,6.9,5.0,44.4,46.0
Louisiana,Red,LA,7.2,49.1,6.9,5.0,44.4,46.0
Texas,Red,TX,7.2,59.8,6.9,5.0,44.4,46.0
Tennessee,Red,TN,6.4,47.4,6.9,5.0,44.4,46.0
West Virginia,Red,WV,6.3,48.1,6.9,5.0,44.4,46.0
Mississippi,Red,MS,6.2,55.1,6.9,5.0,44.4,46.0
North Carolina,Red,NC,6.2,58.6,6.9,5.0,44.4,46.0
Florida,Red,FL,6.1,51.5,6.9,5.0,44.4,46.0
Kentucky,Red,KY,6.0,61.3,6.9,5.0,44.4,46.0
Alaska,Red,AK,5.8,24.3,6.9,5.0,44.4,46.0
Missouri,Red,MO,5.8,26.9,6.9,5.0,44.4,46.0
Ohio,Red,OH,5.5,45.9,6.9,5.0,44.4,46.0
Oklahoma,Red,OK,5.3,63.5,6.9,5.0,44.4,46.0
Wyoming,Red,WY,4.8,32.4,6.9,5.0,44.4,46.0
South Carolina,Red,SC,4.6,83.1,6.9,5.0,44.4,46.0
Idaho,Red,ID,4.4,35.8,6.9,5.0,44.4,46.0
Montana,Red,MT,4.4,29.9,6.9,5.0,44.4,46.0
Indiana,Red,IN,4.3,43.5,6.9,5.0,44.4,46.0
Arkansas,Red,AR,4.2,58.9,6.9,5.0,44.4,46.0
North Dakota,Red,ND,4.1,17.5,6.9,5.0,44.4,46.0
Alabama,Red,AL,3.9,55.3,6.9,5.0,44.4,46.0
Kansas,Red,KS,3.8,46.3,6.9,5.0,44.4,46.0
Utah,Red,UT,3.6,55.0,6.9,5.0,44.4,46.0
Iowa,Red,IA,3.1,35.7,6.9,5.0,44.4,46.0
Nebraska,Red,NE,3.0,39.7,6.9,5.0,44.4,46.0
South Dakota,Red,SD,3.0,24.6,6.9,5.0,44.4,46.0
