,postal_code,geographic_unit_fips,dem,pct_dem,gop,pct_gop,total,percent_expected_vote
675,IL,103,911416,82.4%,176665,16.0%,1106026,90.5318663
589,IL,104,661443,65.0%,341146,33.5%,1017871,85.10975784
3069,AL,01001,7450,27.0%,19764,71.5%,27639,107.2068578
3064,AL,01003,24344,22.3%,83055,76.2%,108945,102.1605199
3061,AL,01005,4772,45.6%,5605,53.6%,10457,100
3077,AL,01007,1982,20.7%,7508,78.4%,9573,105.1515817
3091,AL,01009,2627,9.6%,24595,89.6%,27459,100
3078,AL,01011,3439,74.7%,1143,24.8%,4603,100
3084,AL,01013,3953,41.8%,5448,57.6%,9466,100
3028,AL,01015,15118,29.8%,34964,68.9%,50743,102.6936776
3076,AL,01017,6356,41.6%,8748,57.3%,15269,101.2331764
3038,AL,01019,1619,13.2%,10562,86.0%,12275,100
3050,AL,01021,3056,15.9%,16052,83.3%,19260,98.36065574
3067,AL,01023,3126,41.9%,4294,57.6%,7461,103.6537927
3054,AL,01025,5730,43.7%,7310,55.8%,13102,104.7154731
3068,AL,01027,1262,18.3%,5589,80.8%,6913,100.1303592
3089,AL,01029,672,9.3%,6472,89.8%,7210,118.8200396
3073,AL,01031,5050,22.8%,16832,75.9%,22180,100
3082,AL,01033,7057,28.6%,17311,70.2%,24668,100
3080,AL,01035,2951,46.0%,3435,53.5%,6419,100
3066,AL,01037,1794,32.8%,3626,66.3%,5472,100.6067292
3052,AL,01039,2717,15.6%,14579,83.7%,17418,100
3070,AL,01041,1700,25.7%,4864,73.5%,6617,99.87924528
3056,AL,01043,4454,10.7%,36804,88.2%,41751,103.4106108
3042,AL,01045,5154,26.2%,14281,72.5%,19699,100
3065,AL,01047,12228,68.5%,5523,30.9%,17861,94.36783431
3062,AL,01049,4271,14.6%,24744,84.4%,29322,100
3037,AL,01051,10304,25.2%,30089,73.6%,40891,100
3048,AL,01053,4894,30.9%,10844,68.4%,15861,100
3043,AL,01055,11487,24.2%,35343,74.5%,47460,100.2153807
3059,AL,01057,1390,15.9%,7295,83.3%,8756,99.5678872
3090,AL,01059,2085,16.6%,10364,82.5%,12564,100
3094,AL,01061,1592,12.7%,10844,86.5%,12538,100.0319132
3047,AL,01063,3880,81.3%,875,18.3%,4771,98.9013267
3033,AL,01065,4687,59.2%,3190,40.3%,7922,100
3041,AL,01067,2589,27.9%,6593,71.2%,9266,102.4659958
3036,AL,01069,12738,27.8%,32384,70.8%,45750,100
3063,AL,01071,3709,15.7%,19644,83.2%,23602,105.5120926
3049,AL,01073,180936,55.7%,138443,42.6%,324675,117.8711849
3031,AL,01075,978,13.6%,6168,85.8%,7187,100
3034,AL,01077,11872,26.9%,31578,71.5%,44149,100
3072,AL,01079,3544,22.2%,12266,76.9%,15957,100
3075,AL,01081,27600,38.9%,42019,59.2%,70980,107.068513
3055,AL,01083,13510,27.7%,34337,70.4%,48754,99.49795918
3030,AL,01085,4968,72.7%,1835,26.9%,6830,100.5298793
3040,AL,01087,7084,81.5%,1539,17.7%,8697,100
3087,AL,01089,86885,44.8%,102395,52.8%,193955,99.46410256
3088,AL,01091,5476,50.3%,5337,49.0%,10882,100
3074,AL,01093,1457,10.6%,12190,88.4%,13786,112.7135966
3081,AL,01095,5880,14.9%,33094,83.8%,39492,100.1699429
3083,AL,01097,78754,43.3%,100605,55.3%,181783,92.8184102
3035,AL,01099,4425,41.7%,6129,57.7%,10620,100.0942507
3032,AL,01101,64065,65.1%,33122,33.6%,98476,100.3290781
3060,AL,01103,13159,24.6%,39504,73.9%,53482,99.06458962
3057,AL,01105,3849,73.8%,1336,25.6%,5215,100
3029,AL,01107,4017,41.6%,5590,57.9%,9659,100.2594976
3093,AL,01109,5613,40.7%,8020,58.1%,13796,100
3039,AL,01111,2203,20.4%,8548,79.0%,10824,100.8384572
3079,AL,01113,11078,52.5%,9796,46.4%,21108,121.3452141
3044,AL,01115,7698,17.4%,36119,81.4%,44346,108.3327226
3046,AL,01117,33036,28.9%,79428,69.4%,114439,100
3092,AL,01119,4639,73.8%,1598,25.4%,6282,100
3045,AL,01121,13092,36.8%,22210,62.4%,35591,100
3086,AL,01123,5815,27.8%,14905,71.4%,20888,115.5118067
3051,AL,01125,37514,41.8%,50961,56.8%,89760,96.90792883
3071,AL,01127,4826,15.5%,25947,83.4%,31106,99.0069387
3058,AL,01129,2253,25.4%,6554,74.0%,8861,100.1016719
3085,AL,01131,4036,68.6%,1826,31.0%,5884,99.42548158
3053,AL,01133,974,8.6%,10187,90.4%,11273,102.5377479
1857,AK,02702,2048,34.3%,3570,59.8%,5967,94.47435085
1852,AK,02703,1813,22.8%,5776,72.6%,7960,90.91947459
1826,AK,02704,5769,53.0%,4660,42.8%,10893,99.48853777
1833,AK,02705,4012,48.8%,3862,47.0%,8217,90.37615486
1849,AK,02706,2957,34.7%,5198,61.0%,8521,87.58351321
1825,AK,02707,2029,23.1%,6416,73.1%,8773,91.97945062
1845,AK,02708,1797,20.1%,6874,76.7%,8957,96.47781129
1858,AK,02709,2552,25.1%,7203,70.9%,10153,98.60153443
1822,AK,02710,2462,24.8%,7106,71.7%,9911,95.33474413
1856,AK,02711,2897,29.7%,6497,66.7%,9740,87.41698079
1859,AK,02712,2680,26.5%,7119,70.3%,10131,92.31820667
1850,AK,02713,806,23.9%,2385,70.6%,3377,44.94875549
1842,AK,02714,1120,24.2%,3306,71.5%,4626,38.60468998
1832,AK,02715,2199,47.4%,2238,48.2%,4642,81.02635713
1834,AK,02716,3826,52.7%,3155,43.5%,7256,84.85557245
1838,AK,02717,1816,47.8%,1823,47.9%,3802,48.70612349
1823,AK,02718,2047,51.2%,1805,45.2%,3997,46.95723684
1843,AK,02719,2771,59.3%,1723,36.9%,4670,84.73961169
1836,AK,02720,4423,66.3%,2070,31.0%,6669,81.22031421
1851,AK,02721,4974,57.8%,3355,39.0%,8607,86.55470636
1831,AK,02722,1937,36.0%,3288,61.0%,5387,55.95139177
1828,AK,02723,3433,49.4%,3288,47.3%,6955,87.34145423
1835,AK,02724,2032,34.3%,3720,62.8%,5923,55.43803819
1827,AK,02725,4213,50.0%,3945,46.8%,8430,90.19901562
1841,AK,02726,1938,33.9%,3595,62.9%,5715,55.80509716
1837,AK,02727,1986,38.2%,3000,57.7%,5198,51.46534653
1846,AK,02728,2549,37.1%,4120,60.0%,6863,52.225858
1830,AK,02729,2360,27.0%,6150,70.3%,8744,80.9404795
1853,AK,02730,723,15.2%,3823,80.5%,4747,46.11872146
1839,AK,02731,1261,23.4%,3913,72.7%,5381,45.95610214
1844,AK,02732,1286,31.8%,2548,63.0%,4045,47.07319912
1824,AK,02733,3380,61.0%,1951,35.2%,5545,48.53816527
1848,AK,02734,5356,54.0%,4197,42.3%,9926,91.51761018
1821,AK,02735,1514,37.0%,2429,59.4%,4090,39.3344874
1854,AK,02736,1642,32.1%,3251,63.5%,5117,53.84048822
1840,AK,02737,1486,47.6%,1492,47.8%,3123,53.6505755
1829,AK,02738,2176,57.3%,1327,34.9%,3800,64.85748421
1855,AK,02739,2939,61.1%,1553,32.3%,4812,74.20200463
1847,AK,02740,1508,46.4%,1506,46.4%,3249,61.27876273
1892,AZ,04001,22730,66.1%,11240,32.7%,34397,100
1900,AZ,04003,22997,39.9%,33580,58.2%,57672,94.5442623
1890,AZ,04005,44609,61.0%,27043,37.0%,73174,98.88378378
1889,AZ,04007,8943,32.3%,18377,66.4%,27662,99.60033126
1897,AZ,04009,4034,26.9%,10747,71.7%,14993,99.94667022
1903,AZ,04011,1182,32.1%,2433,66.0%,3685,99.86449864
1893,AZ,04012,2236,30.0%,5129,68.8%,7458,100
1898,AZ,04013,1032538,50.4%,986672,48.1%,2050520,99.10681489
1894,AZ,04015,24831,23.7%,78534,75.0%,104667,99.59748787
1891,AZ,04017,23383,45.2%,27657,53.4%,51767,99.9864797
1901,AZ,04019,298400,58.9%,200799,39.6%,506538,97.45650861
1902,AZ,04021,75093,40.5%,106966,57.7%,185398,99.48005816
1899,AZ,04023,13138,67.2%,6194,31.7%,19556,99.99488674
1896,AZ,04025,49516,34.7%,91242,63.9%,142844,99.28271567
1895,AZ,04027,31562,46.1%,35766,52.3%,68427,96.94681364
1762,AR,05001,1813,28.9%,4301,68.4%,6284,93.83305958
1766,AR,05003,2125,26.8%,5548,70.0%,7926,100.1896094
1770,AR,05005,4625,22.1%,15810,75.4%,20968,94.71496974
1776,AR,05007,41894,35.2%,73605,61.8%,119166,101.8512821
1758,AR,05009,3061,17.9%,13644,79.8%,17103,100
1732,AR,05011,1208,33.2%,2332,64.0%,3644,96.73480223
1768,AR,05013,467,21.8%,1609,75.1%,2143,91.58119658
1724,AR,05015,3941,33.9%,7352,63.2%,11639,104.9031095
1779,AR,05017,2252,55.0%,1750,42.8%,4093,83.8042588
1757,AR,05019,3413,40.8%,4605,55.1%,8358,100
1767,AR,05021,959,18.5%,4084,78.9%,5178,96.55043819
1773,AR,05023,1962,15.6%,10292,81.6%,12617,100
1739,AR,05025,649,18.1%,2857,79.6%,3588,103.7294016
1743,AR,05027,2781,32.5%,5469,64.0%,8550,100
1726,AR,05029,2593,30.0%,5672,65.6%,8641,100
1707,AR,05031,11854,30.9%,25482,66.4%,38364,100
1720,AR,05033,4936,20.5%,18566,77.3%,24025,95.54963411
1751,AR,05035,8325,51.8%,7244,45.0%,16086,85.92030766
1753,AR,05037,1759,25.5%,4928,71.3%,6911,97.47531735
1775,AR,05039,963,36.4%,1573,59.4%,2649,76.69368848
1771,AR,05041,2016,48.4%,1920,46.1%,4163,84.1010101
1765,AR,05043,2408,35.0%,4338,63.1%,6879,100.5554743
1715,AR,05045,18267,33.7%,34338,63.3%,54264,100.4888889
1734,AR,05047,1299,18.2%,5675,79.6%,7125,102.0481237
1741,AR,05049,1031,20.2%,3944,77.4%,5098,100
