FIPS,80th Percentile Income,20th Percentile Income,Income Ratio,Social Association Rate,Violent Crime Rate,Percent Severe Housing Problems,Percent Frequent Mental Distress,Drug Overdose Mortality Rate,Percent Adults Uninsured,Percent Children Uninsured,Health Care Costs,Segregation Index Black/White,Segregation Index Non-white/White,Quality of Life Rank,Social and Economic Factors Rank
1029,73032,15020,4.9,9.99,149.93,13.39,13.66,22.21,15.48,3.73,11134,49.89,36.83,10,14
1031,98372,19622,5,16.01,321.16,14.02,13.45,7.83,15.28,3.63,9856,35.49,26.34,15,4
1037,61516,14579,4.2,10.26,205.85,17.89,14.42,,16.24,4.05,10704,57.64,58,52,50
1039,76541,16243,4.7,13.22,273.13,15.19,14.12,9.72,15.76,3.13,10887,43.62,39.41,39,17
1041,77323,13693,5.6,10.74,500.36,11.06,14.06,,16.25,3.91,10220,19.83,20.39,28,34
1045,83258,15921,5.2,11.7,362.6,13.61,13.64,10.79,14.86,2.85,10692,31.06,24.6,14,19
1049,73230,15983,4.6,9.28,331.15,14.25,14.41,18.77,22.97,4.81,10156,64.09,30.18,22,39
1053,69894,12408,5.6,14.55,483.09,13.29,14.72,26.49,20.4,3.83,11032,33.44,30.61,42,53
1057,74651,14584,5.1,11.34,178.61,11.49,13.84,,15.16,3.15,11417,48.59,48.92,27,30
1061,75247,15620,4.8,8.59,342.52,11.83,14.85,,20.19,3.81,10500,17.7,18.03,35,31
1067,81282,15916,5.1,16.26,278.33,11.23,13.64,,16.93,4.27,10535,27.18,26.56,30,15
1075,65708,14353,4.6,8.64,162.21,12.61,15.18,,15.57,4.8,10176,3.86,3.78,46,21
1077,86527,17432,5,15.01,268.11,14.01,13.6,9.35,14.1,2.72,9847,46.54,43.29,18,7
1079,86297,17386,5,13.29,263.93,10.86,14.25,18.03,17.04,4.01,10447,70.48,37.83,19,26
1001,101520,23134,4.4,13.91,265.7,15.22,12.64,10.23,12.19,2.6,10674,26.35,24,5,3
1003,102624,22306,4.6,11.05,216.77,14.31,12.82,18.45,14.72,3.27,9537,43.97,30.67,4,8
1005,74150,12650,5.9,7.93,328.66,15.25,14.63,,17.4,3.63,9791,25.59,22.36,49,58
1007,79882,18893,4.2,10.63,147.29,12.36,12.85,22.15,15.07,3.14,10756,43.49,42.17,25,42
1009,83944,20634,4.1,8.84,211.6,11.06,13.83,21.38,17.7,4.49,10326,39.94,24.23,12,13
1011,63780,10548,6,9.35,302.29,18.02,14.84,,19.15,3.21,10314,19.77,19.11,61,62
1023,74809,13110,5.7,20.5,111.42,13.48,14.21,,14.67,3.72,11241,36.75,35.73,47,52
1025,85299,9695,8.8,19.05,439.43,13.02,14.63,,16.07,3.15,9935,14.39,13.45,55,60
1027,72450,16588,4.4,11.07,352.21,16.34,13.86,,18,4.5,9782,22.2,21.4,26,27
1033,85487,17063,5,18.21,449.59,15.71,13.37,8.58,13.36,3.06,10879,26.56,21.41,20,24
1035,60119,11231,5.4,9.47,566.46,18.79,16.52,,18.85,3.4,10935,21.87,19.38,63,63
1043,78207,17305,4.5,12.07,169.68,14.65,13.86,26.45,18.11,3.74,10124,75.79,27.25,17,10
1047,67389,9930,6.8,13.62,774.11,23.74,16.54,,16.21,2.42,10329,50.5,49.96,59,64
1051,100788,23492,4.3,10.43,275.58,11.29,12.77,9.42,11.97,2.81,10032,29.33,29.27,8,11
1055,79411,17315,4.6,15.62,544.16,13.34,14.56,17.79,15.29,2.93,12309,63.83,58,36,36
1059,72853,15993,4.6,10.1,345.32,14.5,14.72,17.91,21.28,4.68,11749,51.33,46.67,32,40
1063,49845,9402,5.3,11.79,886.36,15.09,17.12,,15.69,2.9,10073,22.84,22.89,67,65
1065,70630,11677,6,5.97,193.93,19.56,15.44,,15.57,3.23,10359,34.31,33.4,60,54
1071,75126,15492,4.8,8.97,360.99,10.94,14.62,7.63,17.61,3.36,10993,53.82,26.63,21,38
1073,100292,18129,5.5,14.42,796.84,18,12.91,27.21,14.4,2.97,9862,64.59,60.95,16,20
1085,61750,11447,5.4,6.69,611,22.99,16.01,,15.35,3.29,10324,23.96,23.84,65,67
1087,69899,12188,5.7,9.42,736.55,20.96,15.31,,13.54,2.3,8009,58.15,57.74,58,57
1089,121085,24061,5,10.76,583.72,13.03,12.1,11.79,13.05,2.8,9856,47.9,41.67,2,2
1091,71226,9939,7.2,17.97,481.29,16.22,15.6,,13.92,3.18,10062,26.38,26.3,54,46
1095,81838,17913,4.6,9.5,212.4,14.06,14.75,20.39,20.16,4.23,11227,64.82,24.73,29,23
1097,89956,17111,5.3,11.1,549.8,17.89,13.84,15.18,17.06,2.69,10312,55.76,50.72,37,45
1099,67072,7581,8.8,15.23,488.24,14.12,15.12,,18.19,3.74,9707,41.25,39.1,56,61
1107,72287,11511,6.3,12.94,221.08,16.73,14.87,,15.81,3.69,9856,39.94,38.99,51,49
1109,74595,11920,6.3,10.29,448.13,17.74,14.89,,17.07,3.65,9905,27.26,24.34,45,47
1113,80154,15931,5,9.55,441.39,17.43,14.27,10.71,15.19,2.07,10108,41.61,39.53,40,33
1115,95718,22630,4.2,9.19,176.38,12.23,12.35,31.7,14.85,2.88,10774,28.95,25.41,3,9
1117,128911,30765,4.2,11.12,180.18,11.35,11.35,20.13,10.66,2.83,10576,28.66,24.48,1,1
1119,57193,8460,6.8,14.5,486.79,23.29,16.79,,15.42,3.46,9920,26.46,26.01,62,55
1121,76967,15719,4.9,11.87,368.83,16.2,14.5,9.49,14.47,2.39,11121,29.1,27.26,48,32
1129,78730,16568,4.8,16.66,264.34,9.89,14.62,,15.2,4.23,11005,15.67,27.81,43,51
1131,56260,8489,6.6,9.95,418.68,17.82,16.52,,15.89,3.84,8952,19.19,19.19,64,66
1013,73025,14452,5.1,10.92,523.44,14.84,15.47,,16.04,2.75,10176,30.06,29.09,53,56
1015,82414,16952,4.9,14.01,574.32,15.29,13.81,15.6,14.51,2.89,10901,46.98,41.78,9,22
1017,73783,15692,4.7,18.17,526.86,18.42,14.56,,16.96,2.95,9257,29.16,29.69,50,44
1019,79412,17112,4.6,10.05,383.6,15.78,13.64,15.46,14.65,3.13,11470,25.59,19.72,11,28
1021,84217,17180,4.9,16.61,345.84,14.53,14.26,12.14,19.47,4.76,10515,36.02,30.42,24,37
1123,78115,15307,5.1,14.69,478.29,19.01,15.19,12.22,15.25,2.86,10857,36.95,36.58,57,43
1125,94862,18828,5,11.62,415.37,17.5,13.99,13.23,12.17,2.62,10302,54.06,50.47,38,16
1127,76746,15717,4.9,14.24,414.9,11.6,14.75,22.99,16.58,2.84,11152,44.21,32.73,41,48
1133,68484,15167,4.5,12.15,242.52,11.34,14.83,,16.03,3.13,11854,,18.63,44,29
1101,94332,17284,5.5,15.27,407.71,18.83,13.46,7.36,16.02,2.78,9174,50.87,48.13,31,41
1069,86801,17001,5.1,12.77,389.83,13.51,13.62,10.88,15.22,2.68,10094,48.3,45.22,34,18
1081,96323,15362,6.3,8.41,274.75,20.05,13.66,8.08,14.35,3.21,8634,34.03,30.22,6,6
1083,104321,20242,5.2,9.05,143.26,11.48,12.63,5.81,15.55,3.25,10153,40.11,34.56,7,5
1093,75807,15334,4.9,11.6,289.67,11.27,14.47,,16.69,3.09,11146,45.98,46.3,23,35
1103,89641,18808,4.8,12.55,191.52,13.29,13.26,13.96,17.61,3.64,10087,52.22,43.3,13,12
1105,55411,10263,5.4,11.4,,21.75,17.4,,16.53,3.08,8857,20.21,20.22,66,59
1111,67761,13921,4.9,10.13,182.45,17.75,13.99,,17.58,3.26,9887,29.42,25.54,33,25
2013,114850,28109,4.1,8.98,,14.78,9.01,,38.8,24.38,4895,,,,
2016,140950,42420,3.3,8.77,291.57,21.27,8.48,,22.93,14.39,6617,,13.85,20,5
2020,146307,38578,3.8,11.38,836.31,16.6,9.84,18.82,15.33,9.09,7032,36.07,30.83,12,6
2050,102206,21316,4.8,3.9,,60.25,17.8,,33.21,11.23,5537,11.52,55.59,22,23
2060,136786,38125,3.6,11.21,67.29,13.75,11.57,,23.32,15.82,6432,,,13,13
2068,135821,38733,3.5,20.84,,27.78,9.89,,20.44,14.56,5792,,,11,4
2070,104516,22137,4.7,6,,38.01,15.45,,28.91,12.83,7053,,46,23,18
2090,133583,35697,3.7,10.14,,23.03,9.73,13.69,16.31,8.54,6335,51.04,25.43,7,7
2105,100667,24763,4.1,0,,23.08,12.75,,27.12,16.06,5284,,7.24,15,21
