FIPS,State Name,County,Years of Potential Life Lost Rate,Years of Potential Life Lost Rate (Black),Years of Potential Life Lost Rate (Hispanic),Years of Potential Life Lost Rate (White),Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),Percent Uninsured,Primary Care Physicians Ratio,Mental Health Provider Ratio,Medicare Enrollees,Percent Children in Poverty,Percent Children in Poverty (Black),Percent Children in Poverty (Hispanic),Percent Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Social Association Rate,Violent Crime Rate,Average Daily PM2.5,Percent Severe Housing Problems,Age-Adjusted Mortality,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),Child Mortality Rate,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),Infant Deaths,Infant Mortality Rate,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),Percent Frequent Physical Distress,Percent Frequent Mental Distress,Percent Diabetic,Percent Food Insecure,Percent Limited Access to Healthy Foods,Drug Overdose Mortality Rate,Percent Adults Uninsured,Percent Children Uninsured,Health Care Costs,Other Primary Care Providers Ratio,Household Income,Household income (Black),Household income (Hispanic),Household income (White),Segregation Index Black/White,Segregation Index Non-white/White,Length of Life Rank,Quality of Life Rank,Health Behaviors Rank,Clinical Care Rank,Social and Economic Factors Rank,Physical Environment Rank,Health Outcomes Rank,Health Factors Rank
1029,Alabama,Cleburne,11380.48,,,,44.54,,,,12.12,3755:01:00,2487:01:00,182,24.5,,89.93,24.13,73032,15020,4.9,9.99,149.93,10.3,13.39,591.9,,,,,,,,,,,,,13.28,13.66,12.7,13.5,2.07,22.21,15.48,3.73,11134,4975:01:00,43483,,18992,38288,49.89,36.83,44,10,21,58,14,20,27,20
1031,Alabama,Coffee,7295.41,10559.28,,6802.86,30.63,37.38,72.54,25.3,11.93,1766:01:00,1830:01:00,626,21.3,39.42,36.69,19.21,98372,19622,5,16.01,321.16,9.6,14.02,409.2,559.8,,391.5,55.75,113.6,,37.28,32,6.99,,,,13.59,13.45,15.5,15.1,5.98,7.83,15.28,3.63,9856,1766:01:00,48632,28352,40648,53528,35.49,26.34,2,15,8,11,4,9,6,4
1037,Alabama,Coosa,9704.48,12040.33,,8798.82,44.24,46.4,,43.82,13.48,,10581:1,161,29.3,43.91,,12.03,61516,14579,4.2,10.26,205.85,10.2,17.89,521,565.3,,519.6,,,,,,,,,,15.01,14.42,15.6,17.7,10.12,,16.24,4.05,10704,10581:1,36441,25893,,36926,57.64,58,21,52,38,40,50,26,44,42
1039,Alabama,Covington,10307.06,13065.93,,10113.93,55.8,48.13,,58.93,12.26,1991:01:00,1873:01:00,582,28.1,53.84,16.87,24.68,76541,16243,4.7,13.22,273.13,9.2,15.19,529.5,737.6,,508.3,69.06,,,,25,8,,,,14.47,14.12,14.1,16.3,4.37,9.72,15.76,3.13,10887,1561:01:00,35010,21728,33750,41071,43.62,39.41,32,39,31,52,17,8,36,23
1041,Alabama,Crenshaw,9452.32,11608.23,,9286.96,49.33,32.15,153.85,55.61,12.81,6982:01:00,1988:01:00,197,28.8,27.88,,20.22,77323,13693,5.6,10.74,500.36,9.5,11.06,524.9,594,,520.2,,,,,,,,,,14.15,14.06,15.1,16.7,17.04,,16.25,3.91,10220,1159:01:00,37374,23125,53472,41686,19.83,20.39,19,28,45,60,34,2,17,38
1045,Alabama,Dale,7910.29,7975.34,,8459.1,36.49,36.12,27.94,38.18,11.47,4506:01:00,1262:01:00,535,29.7,61.1,32.18,18.76,83258,15921,5.2,11.7,362.6,9.8,13.61,457.9,503.2,,470.2,53.76,86.8,,46.74,25,5.19,,,,14.45,13.64,14.3,16.8,10.56,10.79,14.86,2.85,10692,1330:01:00,40523,24729,23864,50993,31.06,24.6,7,14,16,16,19,17,7,17
1049,Alabama,DeKalb,9760.52,14338.12,5249.86,10169.82,46.63,44.51,56.62,44.71,17.65,2453:01:00,5908:01:00,756,30.9,12.6,48.54,20.04,73230,15983,4.6,9.28,331.15,10.7,14.25,502.9,642,191.8,528,49.97,,77.52,36.92,36,5.92,,,,14.61,14.41,12.2,11.7,2.17,18.77,22.97,4.81,10156,1916:01:00,37128,25650,28911,39883,64.09,30.18,23,22,37,62,39,31,18,45
1053,Alabama,Escambia,10773.23,11178.75,,11215.37,53.77,55.15,,52.09,15.55,2519:01:00,2096:01:00,469,30.7,50.12,12.12,23.2,69894,12408,5.6,14.55,483.09,9.1,13.29,578.8,661.9,,555.4,74.74,82.64,,73.98,27,8.7,,,,15.41,14.72,18.7,20.1,7.22,26.49,20.4,3.83,11032,2902:01:00,35096,20861,50799,39800,33.44,30.61,41,42,49,64,53,23,40,57
1057,Alabama,Fayette,10281.85,12191.14,,10268.79,44.09,43.2,,45.53,11.91,986:01:00,8273:01:00,217,29,49.32,,18.84,74651,14584,5.1,11.34,178.61,10,11.49,535.1,645.9,,530.5,,,,,,,,,,13.88,13.84,14.4,16.1,1.35,,15.16,3.15,11417,4137:01:00,38403,21332,,38419,48.59,48.92,31,27,34,36,30,12,23,27
1061,Alabama,Geneva,9969.7,13816.03,,9921.41,50.33,45.08,39.09,52.76,15.69,3825:01:00,6654:01:00,428,31.4,57.79,56.13,29.45,75247,15620,4.8,8.59,342.52,9.3,11.83,498.5,670.1,,490,67.61,,,,,,,,,14.8,14.85,15.8,15.5,0.93,,20.19,3.81,10500,5323:01:00,36976,24534,35287,39337,17.7,18.03,26,35,50,63,31,4,26,48
1067,Alabama,Henry,7766.29,9500.48,,7379.55,37.08,43.44,,34.04,13.52,3444:01:00,5721:01:00,283,28.9,33.68,,12.75,81282,15916,5.1,16.26,278.33,9.7,11.23,426.3,536.7,,401.4,,,,,,,,,,14.11,13.64,18.9,16.2,2.14,,16.93,4.27,10535,3433:01:00,41426,24570,44205,47288,27.18,26.56,6,30,14,22,15,10,10,14
1075,Alabama,Lamar,9712.56,13681.94,,9244.48,44.14,27.54,,47.18,12.64,,6959:01:00,231,27.1,68.75,81.25,32.44,65708,14353,4.6,8.64,162.21,9.7,12.61,541.2,675.7,,527.6,,,,,,,,,,15.24,15.18,14.6,16.9,0.75,,15.57,4.8,10176,1546:01:00,38358,18696,,37143,3.86,3.78,22,46,30,56,21,53,37,33
1077,Alabama,Lauderdale,8671.73,11706.22,,8533.44,24.85,27.44,37.57,24.16,11.19,1816:01:00,727:01:00,1245,20.9,45.82,49.03,22.68,86527,17432,5,15.01,268.11,10.5,14.01,435.8,648,,422.4,52.96,,,,57,8.62,,,,13.22,13.6,14.1,15.6,5.04,9.35,14.1,2.72,9847,1378:01:00,44124,26317,42232,45592,46.54,43.29,10,18,9,8,7,32,13,6
1079,Alabama,Lawrence,10953.17,14689.83,,11378.67,42.62,36.66,55.12,47.15,13.6,4731:01:00,923:01:00,546,24,34.84,,21.8,86297,17386,5,13.29,263.93,10.9,10.86,542.8,583.9,,572.4,65.38,,,,,,,,,14.28,14.25,14,15.4,2.12,18.03,17.04,4.01,10447,2770:01:00,43107,28571,60188,41613,70.48,37.83,42,19,33,57,26,42,30,34
