Object ID,State FIPS,County,FIPS,ID,County Name,State Abbreviation,State Name,County,Years of Potential Life Lost Rate,Years of Potential Life Lost Rate (Black),Years of Potential Life Lost Rate (Hispanic),Years of Potential Life Lost Rate (White),Percent Fair/Poor Health,Physically Unhealthy Days,Mentally Unhealthy Days,Percent Obese,Food Environment Index,Percent Physically Inactive,Percent With Access to Exercise Opportunities,Percent Excessive Drinking,Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),Uninsured,Percent Uninsured,Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Medicare Enrollees,Preventable Hospital Stays Rate,Diabetics,Percent Mammography (White),Cohort Size,Graduation Rate,Some College,Adults Age 25 to 44,Percent Some College,Unemployed,Labor Force,Percent Unemployed,Percent Children in Poverty,Percent Children in Poverty (Black),Percent Children in Poverty (Hispanic),Percent Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Single-Parent Households,Households,Percent Single-Parent Households,Social Associations,Social Association Rate,Violent Crimes,Violent Crime Rate,Average Daily PM2.5,Presence of Drinking Water Violation,Households with Severe Problems,Percent Severe Housing Problems,Percent Long Commute - Drives Alone,Total Deaths,Age-Adjusted Mortality,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),Child Deaths,Child Mortality Rate,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),Infant Deaths,Infant Mortality Rate,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),Percent Frequent Physical Distress,Percent Frequent Mental Distress,Percent Diabetic,Food Insecure,Percent Food Insecure,Limited Access to Healthy Foods,Percent Limited Access to Healthy Foods,Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,Percent Insufficient Sleep,Uninsured Adults,Percent Adults Uninsured,Uninsured Children,Percent Children Uninsured,Health Care Costs,Other Primary Care Providers Rate,Other Primary Care Providers Ratio,Percent Disconnected Youth,Household Income,Household income (Black),Household income (Hispanic),Household income (White),Percent Free or Reduced Lunch,Segregation Index Black/White,Segregation Index Non-white/White,Homicide Rate,Firearm Fatalities,Firearm Fatalities Rate,2016 Population,Percent Less than 18 Years of Age,Percent 65 and over,African American,Percent African American,American Indian/Alaskan Native,Percent American Indian/Alaskan Native,Asian,Percent Asian,Native Hawaiian/Other Pacific Islander,Percent Native Hawaiian/Other Pacific Islander,Hispanic,Percent Hispanic,Non-Hispanic White,Percent Non-Hispanic White,Not Proficient in English,Percent Not Proficient in English,Percent Female,Rural,Percent Rural,Length of Life Rank,Length of Life Quartile,Quality of Life Rank,Quality of Life Quartile,Health Behaviors Rank,Health Behaviors Quartile,Clinical Care Rank,Clinical Care Quartile,Social and Economic Factors Rank,Social and Economic Factors Quartile,Physical Environment Rank,Physical Environment Quartile,Health Outcomes Rank,Health Outcomes Quartile,Health Factors Rank,Health Factors Quartile,Shape__Area,Shape__Length
1,1,29,1029,1029,Cleburne County,AL,Alabama,Cleburne,11380.48,,,,18.3,4.4,4.6,34.6,8.1,32.2,45.86,15.97,44.54,,,,1465,12.12,4,26.63,3755:01:00,6,40.2,2487:01:00,182,67.61,323,,201,98,1663,3563,46.67,355,5831,6.09,24.5,,89.93,24.13,73032,15020,4.9,769,3473,22.14,15,9.99,22,149.93,10.3,No,755,13.39,50.4,340,591.9,,,,,,,,,,,,,,13.28,13.66,12.7,2020,13.5,310,2.07,10,22.21,8,33.5,1342,15.48,134,3.73,11134,20.1,4975:01:00,,43483,,18992,38288,57.77,49.89,36.83,,17,22.71,14924,23.09,18.82,461,3.09,65,0.44,27,0.18,12,0.08,366,2.45,13842,92.75,115,0.82,50.27,14972,100,44,3,10,1,21,2,58,4,14,1,20,2,27,2,20,2,2103795744,264568.5903
2,1,31,1031,1031,Coffee County,AL,Alabama,Coffee,7295.41,10559.28,,6802.86,20.23,4.5,4.6,34.2,7.5,29.8,44.63,15.53,30.63,37.38,72.54,25.3,5077,11.93,29,56.63,1766:01:00,28,54.66,1830:01:00,626,52.76,1013,62.52,752,96.23,8167,13294,61.43,1235,20402,6.05,21.3,39.42,36.69,19.21,98372,19622,5,4635,12094,38.32,82,16.01,164,321.16,9.6,No,2675,14.02,23.3,734,409.2,559.8,,391.5,27,55.75,113.6,,37.28,32,6.99,,,,13.59,13.45,15.5,7700,15.1,2987,5.98,12,7.83,5,37.3,4667,15.28,459,3.63,9856,56.61,1766:01:00,16.89,48632,28352,40648,53528,46.97,35.49,26.34,2.81,38,14.87,51226,23.75,16.42,8825,17.23,720,1.41,782,1.53,216,0.42,3570,6.97,36193,70.65,716,1.5,50.57,23573,47.2,2,1,15,1,8,1,11,1,4,1,9,1,6,1,4,1,2426785049,203444.8694
3,1,37,1037,1037,Coosa County,AL,Alabama,Coosa,9704.48,12040.33,,8798.82,23.99,4.8,4.7,40.1,6.6,29.6,10.67,13.53,44.24,46.4,,43.82,1138,13.48,,,,1,9.45,10581:1,161,71.71,238,58.14,90,82.5,1109,2497,44.41,273,4444,6.14,29.3,43.91,,12.03,61516,14579,4.2,706,1992,35.44,11,10.26,19,205.85,10.2,No,795,17.89,40.1,228,521,565.3,,519.6,,,,,,,,,,,15.01,14.42,15.6,1950,17.7,1168,10.12,,,6,36.81,1065,16.24,81,4.05,10704,9.45,10581:1,,36441,25893,,36926,75.07,57.64,58,,11,20.35,10581,17.51,19.93,3233,30.55,65,0.61,14,0.13,17,0.16,233,2.2,6938,65.57,122,1.18,49.26,11539,100,21,2,52,4,38,3,40,3,50,3,26,2,44,3,42,3,2457225481,207699.676
4,1,39,1039,1039,Covington County,AL,Alabama,Covington,10307.06,13065.93,,10113.93,22.45,4.8,4.8,33.8,7.4,30.9,62.03,15.4,55.8,48.13,,58.93,3681,12.26,19,50.22,1991:01:00,20,53.39,1873:01:00,582,93.51,957,59.11,453,95.28,4591,8500,54.01,1077,15392,7,28.1,53.84,16.87,24.68,76541,16243,4.7,2861,8137,35.16,50,13.22,103,273.13,9.2,No,2275,15.19,27,743,529.5,737.6,,508.3,23,69.06,,,,25,8,,,,14.47,14.12,14.1,6180,16.3,1650,4.37,11,9.72,5,35.91,3437,15.76,271,3.13,10887,64.07,1561:01:00,23.55,35010,21728,33750,41071,56.05,43.62,39.41,,21,11.11,37458,21.97,20.36,4748,12.68,251,0.67,185,0.49,3,0.01,611,1.63,31174,83.22,211,0.59,51.75,26304,69.65,32,2,39,3,31,2,52,4,17,1,8,1,36,3,23,2,3710604680,283541.6462
5,1,41,1041,1041,Crenshaw County,AL,Alabama,Crenshaw,9452.32,11608.23,,9286.96,22.29,4.6,4.7,39.6,6.2,29.9,22.44,14.44,49.33,32.15,153.85,55.61,1458,12.81,2,14.32,6982:01:00,7,50.31,1988:01:00,197,73.06,293,57.49,191,92.5,1453,3218,45.15,388,6451,6.01,28.8,27.88,,20.22,77323,13693,5.6,1117,3113,35.88,15,10.74,68,500.36,9.5,No,600,11.06,43.4,284,524.9,594,,520.2,,,,,,,,,,,14.15,14.06,15.1,2320,16.7,2369,17.04,,,6,37.55,1343,16.25,129,3.91,10220,86.25,1159:01:00,,37374,23125,53472,41686,65.34,19.83,20.39,10.23,15,21.45,13913,23.05,18.59,3264,23.46,85,0.61,218,1.57,3,0.02,261,1.88,9851,70.8,143,1.09,51.17,13906,100,19,2,28,2,45,3,60,4,34,2,2,1,17,1,38,3,2193872024,278252.0976
6,1,45,1045,1045,Dale County,AL,Alabama,Dale,7910.29,7975.34,,8459.1,22.61,4.7,4.4,36.5,6.7,28.8,60.3,14.39,36.49,36.12,27.94,38.18,4703,11.47,11,22.19,4506:01:00,39,79.23,1262:01:00,535,53.65,921,60.89,517,90.44,7866,13206,59.56,1188,20078,5.92,29.7,61.1,32.18,18.76,83258,15921,5.2,4144,11657,35.55,58,11.7,181,362.6,9.8,No,2650,13.61,25.9,788,457.9,503.2,,470.2,25,53.76,86.8,,46.74,25,5.19,,,,14.45,13.64,14.3,8390,16.8,5306,10.56,16,10.79,6,40.85,4393,14.86,342,2.85,10692,75.16,1330:01:00,18.07,40523,24729,23864,50993,63.22,31.06,24.6,6.31,37,14.88,49226,23.11,16.17,9798,19.9,426,0.87,625,1.27,85,0.17,3026,6.15,34225,69.53,395,0.85,50.71,25572,50.89,7,1,14,1,16,1,16,1,19,2,17,1,7,1,17,1,2007530770,199177.8321
7,1,49,1049,1049,DeKalb County,AL,Alabama,DeKalb,9760.52,14338.12,5249.86,10169.82,23.1,4.5,4.7,30.5,8.5,32,48.41,14.89,46.63,44.51,56.62,44.71,10467,17.65,29,40.77,2453:01:00,12,16.93,5908:01:00,756,68.57,1258,,813,91.78,7821,17883,43.73,1800,29016,6.2,30.9,12.6,48.54,20.04,73230,15983,4.6,5624,17483,32.17,66,9.28,220,331.15,10.7,No,3525,14.25,30.5,1250,502.9,642,191.8,528,35,49.97,,77.52,36.92,36,5.92,,,,14.61,14.41,12.2,8350,11.7,1541,2.17,40,18.77,7,35.82,9674,22.97,868,4.81,10156,52.19,1916:01:00,20.72,37128,25650,28911,39883,60.36,64.09,30.18,5.43,49,13.8,70900,24.46,16.41,1046,1.48,1467,2.07,304,0.43,483,0.68,10110,14.26,57233,80.72,2551,3.83,50.51,64091,90.13,23,2,22,2,37,3,62,4,39,3,31,2,18,2,45,3,2973932099,273049.5805
8,1,53,1053,1053,Escambia County,AL,Alabama,Escambia,10773.23,11178.75,,11215.37,24.45,4.9,4.7,38.6,6.5,32,50.71,13.15,53.77,55.15,,52.09,4388,15.55,15,39.69,2519:01:00,18,47.71,2096:01:00,469,95.58,865,63.81,394,84.13,3343,9328,35.84,985,14633,6.73,30.7,50.12,12.12,23.2,69894,12408,5.6,3808,8382,45.43,55,14.55,184,483.09,9.1,No,1825,13.29,29.4,780,578.8,661.9,,555.4,25,74.74,82.64,,73.98,27,8.7,,,,15.41,14.72,18.7,7610,20.1,2767,7.22,30,26.49,11,39.75,4085,20.4,330,3.83,11032,34.46,2902:01:00,33.15,35096,20861,50799,39800,69.66,33.44,30.61,11.29,38,20.08,37728,22.18,17.19,12040,31.91,1359,3.6,103,0.27,21,0.06,820,2.17,22737,60.27,62,0.17,48.62,24337,63.51,41,3,42,3,49,3,64,4,53,4,23,2,40,3,57,4,3378488247,287552.3368
9,1,57,1057,1057,Fayette County,AL,Alabama,Fayette,10281.85,12191.14,,10268.79,19.61,4.6,4.6,35.6,7.7,36.6,45.58,14.91,44.09,43.2,,45.53,1580,11.91,17,101.44,986:01:00,2,12.09,8273:01:00,217,86.36,430,,191,92.5,1992,3800,52.42,456,6543,6.97,29,49.32,,18.84,74651,14584,5.1,1072,3591,29.85,19,11.34,31,178.61,10,No,800,11.49,36.2,352,535.1,645.9,,530.5,,,,,,,,,,,13.88,13.84,14.4,2720,16.1,234,1.35,,,9,38.92,1473,15.16,118,3.15,11417,24.18,4137:01:00,,38403,21332,,38419,57.89,48.59,48.92,,18,21.41,16546,21.17,20.63,1948,11.77,74,0.45,45,0.27,0,0,262,1.58,14040,84.85,0,0,50.57,13833,80.23,31,2,27,2,34,2,36,3,30,2,12,1,23,2,27,2,2362313934,222346.568
10,1,61,1061,1061,Geneva County,AL,Alabama,Geneva,9969.7,13816.03,,9921.41,23.76,4.9,4.9,36.6,7.9,29.3,27.67,14.66,50.33,45.08,39.09,52.76,3356,15.69,7,26.14,3825:01:00,4,15.03,6654:01:00,428,82.32,710,58.75,270,94.31,2858,6399,44.66,642,10905,5.89,31.4,57.79,56.13,29.45,75247,15620,4.8,2528,5891,42.91,23,8.59,92,342.52,9.3,No,1290,11.83,44.9,512,498.5,670.1,,490,16,67.61,,,,,,,,,14.8,14.85,15.8,4150,15.5,249,0.93,,,5,36.92,3144,20.19,233,3.81,10500,18.79,5323:01:00,19.5,36976,24534,35287,39337,61.95,17.7,18.03,5.87,20,14.95,26614,22.09,19.83,2491,9.36,269,1.01,84,0.32,21,0.08,1027,3.86,22329,83.9,241,0.95,50.9,24015,89.64,26,2,35,3,50,3,63,4,31,2,4,1,26,2,48,3,2051204708,211978.0771
