FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,Count of Points
1,1,Aleutians East,Alaska,2,13,2013,0
2,1201,Traill,North Dakota,38,97,38097,1
3,1202,Walsh,North Dakota,38,99,38099,0
4,2,Aleutians West,Alaska,2,16,2016,0
5,1203,Ward,North Dakota,38,101,38101,1
6,3,Anchorage,Alaska,2,20,2020,3
7,1204,Wells,North Dakota,38,103,38103,0
8,4,Bethel,Alaska,2,50,2050,0
9,1205,Williams,North Dakota,38,105,38105,1
10,1206,Baker,Oregon,41,1,41001,0
11,1207,Morrow,Oregon,41,49,41049,0
12,1208,Umatilla,Oregon,41,59,41059,1
13,1209,Union,Oregon,41,61,41061,1
14,1210,Wallowa,Oregon,41,63,41063,0
15,1211,Brown,South Dakota,46,13,46013,2
16,1212,Butte,South Dakota,46,19,46019,0
17,1213,Campbell,South Dakota,46,21,46021,0
18,1214,Clark,South Dakota,46,25,46025,0
19,1215,Codington,South Dakota,46,29,46029,1
20,1216,Corson,South Dakota,46,31,46031,0
21,1217,Day,South Dakota,46,37,46037,0
22,1218,Deuel,South Dakota,46,39,46039,0
23,1219,Dewey,South Dakota,46,41,46041,0
24,1220,Edmunds,South Dakota,46,45,46045,0
25,1221,Faulk,South Dakota,46,49,46049,0
26,1222,Grant,South Dakota,46,51,46051,0
27,1223,Hamlin,South Dakota,46,57,46057,0
28,1224,Harding,South Dakota,46,63,46063,0
29,1225,McPherson,South Dakota,46,89,46089,0
30,1226,Marshall,South Dakota,46,91,46091,0
31,1227,Perkins,South Dakota,46,105,46105,0
32,1228,Potter,South Dakota,46,107,46107,0
33,1229,Roberts,South Dakota,46,109,46109,1
34,1230,Spink,South Dakota,46,115,46115,0
35,1231,Sully,South Dakota,46,119,46119,0
36,1232,Walworth,South Dakota,46,129,46129,0
37,1233,Ziebach,South Dakota,46,137,46137,0
38,1234,Adams,Washington,53,1,53001,0
39,1235,Asotin,Washington,53,3,53003,0
40,1236,Benton,Washington,53,5,53005,2
41,1237,Columbia,Washington,53,13,53013,0
42,1238,Douglas,Washington,53,17,53017,0
43,1239,Ferry,Washington,53,19,53019,0
44,1240,Franklin,Washington,53,21,53021,1
45,1241,Garfield,Washington,53,23,53023,0
46,1242,Grant,Washington,53,25,53025,1
47,1243,Lincoln,Washington,53,43,53043,0
48,1244,Pend Oreille,Washington,53,51,53051,0
49,1245,Spokane,Washington,53,63,53063,13
50,1246,Stevens,Washington,53,65,53065,0
51,1247,Walla Walla,Washington,53,71,53071,3
52,1248,Whitman,Washington,53,75,53075,1
53,1249,Sheridan,Wyoming,56,33,56033,1
54,1250,Baldwin,Alabama,1,3,1003,4
55,1251,Barbour,Alabama,1,5,1005,0
56,1252,Bullock,Alabama,1,11,1011,0
57,1253,Butler,Alabama,1,13,1013,0
58,1254,Choctaw,Alabama,1,23,1023,0
59,1255,Clarke,Alabama,1,25,1025,1
60,1256,Coffee,Alabama,1,31,1031,1
61,1257,Conecuh,Alabama,1,35,1035,1
62,1258,Covington,Alabama,1,39,1039,1
63,1259,Crenshaw,Alabama,1,41,1041,0
64,1260,Dale,Alabama,1,45,1045,1
65,1261,Escambia,Alabama,1,53,1053,0
66,1262,Geneva,Alabama,1,61,1061,0
67,1263,Henry,Alabama,1,67,1067,0
68,1264,Houston,Alabama,1,69,1069,2
69,1265,Mobile,Alabama,1,97,1097,8
70,1266,Monroe,Alabama,1,99,1099,0
71,1267,Pike,Alabama,1,109,1109,1
72,1268,Washington,Alabama,1,129,1129,0
73,1269,Wilcox,Alabama,1,131,1131,0
74,1270,Alachua,Florida,12,1,12001,9
75,1271,Baker,Florida,12,3,12003,0
76,1272,Bay,Florida,12,5,12005,1
77,1273,Bradford,Florida,12,7,12007,1
78,1274,Brevard,Florida,12,9,12009,6
79,1275,Calhoun,Florida,12,13,12013,0
80,1276,Charlotte,Florida,12,15,12015,1
81,1277,Citrus,Florida,12,17,12017,1
82,1278,Clay,Florida,12,19,12019,2
83,1279,Collier,Florida,12,21,12021,5
84,1280,Columbia,Florida,12,23,12023,1
85,1281,DeSoto,Florida,12,27,12027,0
86,1282,Dixie,Florida,12,29,12029,0
87,1283,Duval,Florida,12,31,12031,19
88,1284,Escambia,Florida,12,33,12033,6
89,1285,Flagler,Florida,12,35,12035,1
90,1286,Franklin,Florida,12,37,12037,0
91,1287,Gadsden,Florida,12,39,12039,1
92,1288,Gilchrist,Florida,12,41,12041,0
93,1289,Glades,Florida,12,43,12043,0
94,1290,Gulf,Florida,12,45,12045,0
95,1291,Hamilton,Florida,12,47,12047,0
96,1292,Hardee,Florida,12,49,12049,0
97,1293,Hendry,Florida,12,51,12051,0
98,1294,Hernando,Florida,12,53,12053,2
99,1295,Highlands,Florida,12,55,12055,2
100,1296,Hillsborough,Florida,12,57,12057,18
101,1297,Holmes,Florida,12,59,12059,0
102,1298,Indian River,Florida,12,61,12061,1
103,1299,Jackson,Florida,12,63,12063,2
104,1300,Jefferson,Florida,12,65,12065,0
105,1301,Lafayette,Florida,12,67,12067,0
106,1302,Lake,Florida,12,69,12069,3
107,1303,Lee,Florida,12,71,12071,12
108,1304,Leon,Florida,12,73,12073,8
109,1305,Levy,Florida,12,75,12075,0
110,1306,Liberty,Florida,12,77,12077,0
111,1307,Madison,Florida,12,79,12079,1
112,1308,Manatee,Florida,12,81,12081,4
113,1309,Marion,Florida,12,83,12083,4
114,1310,Monroe,Florida,12,87,12087,0
115,1311,Nassau,Florida,12,89,12089,0
116,1312,Okaloosa,Florida,12,91,12091,2
117,1313,Okeechobee,Florida,12,93,12093,0
118,1314,Orange,Florida,12,95,12095,22
119,1315,Osceola,Florida,12,97,12097,3
120,1316,Pasco,Florida,12,101,12101,5
121,1317,Pinellas,Florida,12,103,12103,13
122,1318,Polk,Florida,12,105,12105,10
123,1319,Putnam,Florida,12,107,12107,1
124,1320,St. Johns,Florida,12,109,12109,2
125,1321,Santa Rosa,Florida,12,113,12113,1
126,1322,Sarasota,Florida,12,115,12115,6
127,1323,Seminole,Florida,12,117,12117,9
128,1324,Sumter,Florida,12,119,12119,1
129,1325,Suwannee,Florida,12,121,12121,1
130,1326,Taylor,Florida,12,123,12123,1
131,1327,Union,Florida,12,125,12125,0
132,1328,Volusia,Florida,12,127,12127,8
133,1329,Wakulla,Florida,12,129,12129,0
134,1330,Walton,Florida,12,131,12131,1
135,1331,Washington,Florida,12,133,12133,1
136,1332,Appling,Georgia,13,1,13001,0
137,1333,Atkinson,Georgia,13,3,13003,0
138,1334,Bacon,Georgia,13,5,13005,0
139,1335,Baker,Georgia,13,7,13007,0
140,1336,Ben Hill,Georgia,13,17,13017,0
141,1337,Berrien,Georgia,13,19,13019,0
142,1338,Brantley,Georgia,13,25,13025,0
143,1339,Brooks,Georgia,13,27,13027,0
144,1340,Bryan,Georgia,13,29,13029,0
145,1341,Calhoun,Georgia,13,37,13037,0
146,1342,Camden,Georgia,13,39,13039,0
147,1343,Charlton,Georgia,13,49,13049,0
148,1344,Chatham,Georgia,13,51,13051,6
149,1345,Clay,Georgia,13,61,13061,0
150,1346,Clinch,Georgia,13,65,13065,0
151,1347,Coffee,Georgia,13,69,13069,1
152,401,Starr,Texas,48,427,48427,0
153,1348,Colquitt,Georgia,13,71,13071,0
154,1349,Cook,Georgia,13,75,13075,0
155,1350,Crisp,Georgia,13,81,13081,0
156,1351,Decatur,Georgia,13,87,13087,0
157,1352,Dougherty,Georgia,13,95,13095,2
158,1353,Early,Georgia,13,99,13099,0
159,1354,Echols,Georgia,13,101,13101,0
160,1355,Glynn,Georgia,13,127,13127,1
161,1356,Grady,Georgia,13,131,13131,0
162,1357,Irwin,Georgia,13,155,13155,0
163,1358,Jeff Davis,Georgia,13,161,13161,0
164,1359,Lanier,Georgia,13,173,13173,0
165,1360,Lee,Georgia,13,177,13177,0
166,1361,Liberty,Georgia,13,179,13179,0
167,1362,Long,Georgia,13,183,13183,0
168,1363,Lowndes,Georgia,13,185,13185,2
169,1364,McIntosh,Georgia,13,191,13191,0
170,1365,Miller,Georgia,13,201,13201,0
171,1366,Mitchell,Georgia,13,205,13205,0
172,1367,Pierce,Georgia,13,229,13229,0
173,1368,Quitman,Georgia,13,239,13239,0
174,1369,Randolph,Georgia,13,243,13243,1
175,1370,Seminole,Georgia,13,253,13253,0
176,1371,Stewart,Georgia,13,259,13259,0
177,1372,Sumter,Georgia,13,261,13261,2
178,1373,Tattnall,Georgia,13,267,13267,0
179,1374,Telfair,Georgia,13,271,13271,0
180,1375,Terrell,Georgia,13,273,13273,0
181,1376,Thomas,Georgia,13,275,13275,2
182,1377,Tift,Georgia,13,277,13277,1
183,1378,Turner,Georgia,13,287,13287,0
184,1379,Ware,Georgia,13,299,13299,1
185,1380,Wayne,Georgia,13,305,13305,0
186,1381,Webster,Georgia,13,307,13307,0
187,1382,Wheeler,Georgia,13,309,13309,0
188,1383,Wilcox,Georgia,13,315,13315,0
189,1384,Worth,Georgia,13,321,13321,0
190,1385,Acadia,Louisiana,22,1,22001,1
191,1386,Allen,Louisiana,22,3,22003,0
192,1387,Ascension,Louisiana,22,5,22005,1
193,1388,Assumption,Louisiana,22,7,22007,0
194,1389,Avoyelles,Louisiana,22,9,22009,0
195,1390,Beauregard,Louisiana,22,11,22011,0
