FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,2020 Pop Age 25+: High School/No Diploma,2020 Pop Age 25+: GED,2020 Pop Age 25+: Some College/No Degree,2020 Pop Age 25+: Associate's Degree,2020 Pop Age 25+: Bachelor's Degree,2020 Pop Age 25+: Grad/Professional Degree
1,1,Aleutians East,Alaska,2,13,2013,50,27,175,56,90,25
2,1201,Traill,North Dakota,38,97,38097,243,122,1421,944,1177,390
3,1202,Walsh,North Dakota,38,99,38099,619,391,1683,1203,1070,300
4,2,Aleutians West,Alaska,2,16,2016,75,59,455,120,228,92
5,1203,Ward,North Dakota,38,101,38101,1729,1851,10414,6244,10538,3336
6,3,Anchorage,Alaska,2,20,2020,6428,8826,50356,16417,43771,29465
7,1204,Wells,North Dakota,38,103,38103,174,133,553,353,565,130
8,4,Bethel,Alaska,2,50,2050,899,655,1779,455,752,500
9,1205,Williams,North Dakota,38,105,38105,1441,1172,7319,4142,5796,1247
10,1206,Baker,Oregon,41,1,41001,1080,655,3426,995,2044,1011
11,1207,Morrow,Oregon,41,49,41049,1155,298,1921,672,677,273
12,1208,Umatilla,Oregon,41,59,41059,4880,3309,14350,5751,5745,3505
13,1209,Union,Oregon,41,61,41061,1031,957,4934,1836,3391,1718
14,1210,Wallowa,Oregon,41,63,41063,309,193,1698,563,988,594
15,1211,Brown,South Dakota,46,13,46013,885,1293,5047,3739,5768,2539
16,1212,Butte,South Dakota,46,19,46019,487,553,1514,395,1224,305
17,1213,Campbell,South Dakota,46,21,46021,48,64,154,98,280,44
18,1214,Clark,South Dakota,46,25,46025,143,131,583,289,452,82
19,1215,Codington,South Dakota,46,29,46029,891,849,3505,2965,3447,963
20,1216,Corson,South Dakota,46,31,46031,324,218,452,300,341,75
21,1217,Day,South Dakota,46,37,46037,203,238,755,566,713,225
22,1218,Deuel,South Dakota,46,39,46039,172,117,539,402,648,156
23,1219,Dewey,South Dakota,46,41,46041,364,247,675,365,385,125
24,1220,Edmunds,South Dakota,46,45,46045,102,73,511,306,516,225
25,1221,Faulk,South Dakota,46,49,46049,78,115,307,191,278,221
26,1222,Grant,South Dakota,46,51,46051,303,431,854,731,760,197
27,1223,Hamlin,South Dakota,46,57,46057,214,156,628,546,680,204
28,1224,Harding,South Dakota,46,63,46063,44,42,202,107,208,43
29,1225,McPherson,South Dakota,46,89,46089,131,107,383,222,237,72
30,1226,Marshall,South Dakota,46,91,46091,159,92,702,653,752,215
31,1227,Perkins,South Dakota,46,105,46105,56,126,411,325,284,132
32,1228,Potter,South Dakota,46,107,46107,41,64,387,221,300,117
33,1229,Roberts,South Dakota,46,109,46109,498,546,1401,1129,894,416
34,1230,Spink,South Dakota,46,115,46115,202,160,837,580,774,246
35,1231,Sully,South Dakota,46,119,46119,34,33,259,104,236,43
36,1232,Walworth,South Dakota,46,129,46129,258,201,698,475,796,238
37,1233,Ziebach,South Dakota,46,137,46137,184,155,281,205,230,46
38,1234,Adams,Washington,53,1,53001,1233,809,1966,936,1226,598
39,1235,Asotin,Washington,53,3,53003,1325,893,4702,1914,2439,1186
40,1236,Benton,Washington,53,5,53005,6248,6353,33924,15166,27290,17822
41,1237,Columbia,Washington,53,13,53013,145,161,842,543,567,310
42,1238,Douglas,Washington,53,17,53017,2012,1068,5802,2837,3655,1823
43,1239,Ferry,Washington,53,19,53019,634,369,1456,527,775,413
44,1240,Franklin,Washington,53,21,53021,4958,3190,12424,5569,6885,4012
45,1241,Garfield,Washington,53,23,53023,46,66,489,215,344,133
46,1242,Grant,Washington,53,25,53025,5635,3037,14793,5297,8123,4113
47,1243,Lincoln,Washington,53,43,53043,472,413,2253,904,1357,741
48,1244,Pend Oreille,Washington,53,51,53051,752,493,2750,1327,1532,743
49,1245,Spokane,Washington,53,63,53063,15396,14765,93918,49887,74976,45836
