FIPS,Stabr,area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013, Civilian_labor_force_2019 , Employed_2019 , Unemployed_2019 ,Unemployment_rate_2019,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
00000,US,United States,,,,"163,100,055","157,115,247","5,984,808",3.7,"61,937",
01000,AL,Alabama,,,,"2,241,747","2,174,483","67,264",3.0,"49,881",100.0
01001,AL,"Autauga County, AL",2,2,1,"26,172","25,458",714,2.7,"59,338",119.0
01003,AL,"Baldwin County, AL",3,2,1,"97,328","94,675","2,653",2.7,"57,588",115.5
01005,AL,"Barbour County, AL",6,6,0,"8,537","8,213",324,3.8,"34,382",68.9
01007,AL,"Bibb County, AL",1,1,1,"8,685","8,419",266,3.1,"46,064",92.3
01009,AL,"Blount County, AL",1,1,1,"25,331","24,655",676,2.7,"50,412",101.1
01011,AL,"Bullock County, AL",6,6,0,"4,818","4,643",175,3.6,"29,267",58.7
01013,AL,"Butler County, AL",6,6,0,"9,263","8,925",338,3.6,"37,365",74.9
01015,AL,"Calhoun County, AL",3,2,1,"46,209","44,574","1,635",3.5,"45,400",91.0
01017,AL,"Chambers County, AL",6,5,0,"15,748","15,286",462,2.9,"39,917",80.0
01019,AL,"Cherokee County, AL",6,6,0,"11,604","11,266",338,2.9,"42,132",84.5
01021,AL,"Chilton County, AL",1,1,1,"19,818","19,280",538,2.7,"47,547",95.3
01023,AL,"Choctaw County, AL",9,10,0,"4,670","4,452",218,4.7,"39,907",80.0
01025,AL,"Clarke County, AL",7,11,0,"7,557","7,121",436,5.8,"40,741",81.7
01027,AL,"Clay County, AL",9,10,0,"6,101","5,918",183,3.0,"39,201",78.6
01029,AL,"Cleburne County, AL",8,4,0,"5,806","5,623",183,3.2,"46,495",93.2
01031,AL,"Coffee County, AL",4,5,0,"21,402","20,779",623,2.9,"55,122",110.5
01033,AL,"Colbert County, AL",3,2,1,"23,646","22,761",885,3.7,"49,055",98.3
01035,AL,"Conecuh County, AL",7,11,0,"4,533","4,353",180,4.0,"32,613",65.4
01037,AL,"Coosa County, AL",8,3,0,"4,549","4,414",135,3.0,"42,423",85.0
01039,AL,"Covington County, AL",6,6,0,"15,653","15,119",534,3.4,"40,203",80.6
01041,AL,"Crenshaw County, AL",8,6,0,"6,476","6,293",183,2.8,"39,057",78.3
01043,AL,"Cullman County, AL",4,3,0,"38,646","37,648",998,2.6,"45,796",91.8
01045,AL,"Dale County, AL",4,5,0,"20,724","20,082",642,3.1,"45,309",90.8
01047,AL,"Dallas County, AL",4,5,0,"14,711","13,904",807,5.5,"34,035",68.2
01049,AL,"DeKalb County, AL",6,6,0,"31,052","30,182",870,2.8,"39,491",79.2
01051,AL,"Elmore County, AL",2,2,1,"37,565","36,586",979,2.6,"60,367",121.0
01053,AL,"Escambia County, AL",6,6,0,"14,762","14,248",514,3.5,"38,418",77.0
01055,AL,"Etowah County, AL",3,2,1,"42,723","41,295","1,428",3.3,"44,903",90.0
01057,AL,"Fayette County, AL",6,6,0,"6,579","6,372",207,3.1,"39,254",78.7
01059,AL,"Franklin County, AL",6,6,0,"14,696","14,291",405,2.8,"39,388",79.0
01061,AL,"Geneva County, AL",3,2,1,"11,045","10,725",320,2.9,"37,823",75.8
01063,AL,"Greene County, AL",8,6,0,"2,883","2,722",161,5.6,"28,524",57.2
01065,AL,"Hale County, AL",3,2,1,"6,119","5,878",241,3.9,"34,724",69.6
01067,AL,"Henry County, AL",3,2,1,"6,944","6,697",247,3.6,"46,027",92.3
01069,AL,"Houston County, AL",3,2,1,"46,234","44,844","1,390",3.0,"47,993",96.2
01071,AL,"Jackson County, AL",6,5,0,"23,484","22,712",772,3.3,"41,929",84.1
01073,AL,"Jefferson County, AL",1,1,1,"318,755","309,664","9,091",2.9,"55,013",110.3
01075,AL,"Lamar County, AL",8,7,0,"5,849","5,670",179,3.1,"40,936",82.1
01077,AL,"Lauderdale County, AL",3,2,1,"42,548","41,160","1,388",3.3,"48,707",97.6
01079,AL,"Lawrence County, AL",3,2,1,"14,306","13,859",447,3.1,"43,909",88.0
01081,AL,"Lee County, AL",3,2,1,"76,580","74,500","2,080",2.7,"48,937",98.1
01083,AL,"Limestone County, AL",2,2,1,"43,854","42,700","1,154",2.6,"64,863",130.0
01085,AL,"Lowndes County, AL",2,2,1,"3,587","3,383",204,5.7,"33,973",68.1
01087,AL,"Macon County, AL",6,6,0,"7,850","7,513",337,4.3,"32,495",65.1
01089,AL,"Madison County, AL",2,2,1,"185,219","180,505","4,714",2.5,"63,755",127.8
01091,AL,"Marengo County, AL",7,11,0,"7,694","7,423",271,3.5,"37,733",75.6
01093,AL,"Marion County, AL",7,11,0,"12,932","12,486",446,3.4,"37,887",76.0
01095,AL,"Marshall County, AL",4,5,0,"44,085","42,999","1,086",2.5,"46,233",92.7
01097,AL,"Mobile County, AL",2,2,1,"189,107","182,083","7,024",3.7,"43,598",87.4
01099,AL,"Monroe County, AL",7,11,0,"7,329","6,973",356,4.9,"39,556",79.3
01101,AL,"Montgomery County, AL",2,2,1,"105,777","102,517","3,260",3.1,"49,640",99.5
01103,AL,"Morgan County, AL",3,2,1,"58,271","56,771","1,500",2.6,"52,797",105.8
01105,AL,"Perry County, AL",8,4,0,"3,413","3,235",178,5.2,"26,814",53.8
01107,AL,"Pickens County, AL",3,2,1,"7,923","7,647",276,3.5,"37,586",75.4
01109,AL,"Pike County, AL",6,5,0,"15,428","14,924",504,3.3,"37,259",74.7
01111,AL,"Randolph County, AL",6,4,0,"9,639","9,347",292,3.0,"40,546",81.3
01113,AL,"Russell County, AL",2,2,1,"23,896","23,198",698,2.9,"39,104",78.4
01115,AL,"St. Clair County, AL",1,1,1,"40,532","39,441","1,091",2.7,"57,284",114.8
01117,AL,"Shelby County, AL",1,1,1,"115,939","113,414","2,525",2.2,"75,663",151.7
01119,AL,"Sumter County, AL",8,6,0,"4,854","4,635",219,4.5,"27,859",55.9
01121,AL,"Talladega County, AL",4,3,0,"35,769","34,556","1,213",3.4,"41,630",83.5
01123,AL,"Tallapoosa County, AL",6,6,0,"18,652","18,096",556,3.0,"42,205",84.6
01125,AL,"Tuscaloosa County, AL",3,2,1,"104,964","102,122","2,842",2.7,"52,557",105.4
01127,AL,"Walker County, AL",1,1,1,"25,347","24,517",830,3.3,"45,434",91.1
01129,AL,"Washington County, AL",8,7,0,"6,800","6,487",313,4.6,"44,424",89.1
01131,AL,"Wilcox County, AL",9,10,0,"2,739","2,544",195,7.1,"25,385",50.9
01133,AL,"Winston County, AL",6,4,0,"10,041","9,705",336,3.3,"41,156",82.5
02000,AK,Alaska,,,,"347,779","326,430","21,349",6.1,"74,912",100.0
02013,AK,"Aleutians East Borough, AK",9,12,0,"2,428","2,360",68,2.8,"70,081",93.6
02016,AK,"Aleutians West Census Area, AK",9,11,0,"3,606","3,477",129,3.6,"82,633",110.3
02020,AK,"Anchorage Borough/municipality, AK",2,2,1,"146,949","139,526","7,423",5.1,"82,113",109.6
02050,AK,"Bethel Census Area, AK",7,11,0,"7,025","6,120",905,12.9,"44,304",59.1
02060,AK,"Bristol Bay Borough, AK",9,12,0,441,414,27,6.1,"77,257",103.1
02068,AK,"Denali Borough, AK",8,7,0,"1,038",950,88,8.5,"75,477",100.8
02070,AK,"Dillingham Census Area, AK",9,12,0,"1,938","1,781",157,8.1,"54,524",72.8
02090,AK,"Fairbanks North Star Borough, AK",3,2,1,"44,652","42,248","2,404",5.4,"74,268",99.1
02100,AK,"Haines Borough, AK",9,12,0,"1,111","1,012",99,8.9,"58,943",78.7
02105,AK,"Hoonah-Angoon Census Area, AK",9,10,0,"1,160","1,028",132,11.4,"51,188",68.3
02110,AK,"Juneau Borough/city, AK",5,8,0,"16,999","16,243",756,4.4,"79,173",105.7
02122,AK,"Kenai Peninsula Borough, AK",7,11,0,"26,161","24,383","1,778",6.8,"65,439",87.4
02130,AK,"Ketchikan Gateway Borough, AK",7,8,0,"6,884","6,456",428,6.2,"68,309",91.2
02150,AK,"Kodiak Island Borough, AK",7,11,0,"5,912","5,582",330,5.6,"74,109",98.9
02158,AK,"Kusilvak Census Area, AK",9,12,0,"2,682","2,164",518,19.3,"32,728",43.7
02164,AK,"Lake and Peninsula Borough, AK",9,12,0,708,638,70,9.9,"49,403",65.9
02170,AK,"Matanuska-Susitna Borough, AK",2,2,1,"46,901","43,661","3,240",6.9,"74,649",99.6
02180,AK,"Nome Census Area, AK",7,11,0,"4,036","3,596",440,10.9,"55,318",73.8
02185,AK,"North Slope Borough, AK",7,11,0,"3,485","3,261",224,6.4,"89,276",119.2
