postal_code,FIPS,dem,gop,total
AL,01001,7450,19764,27639
AL,01003,24344,83055,108945
AL,01005,4772,5605,10457
AL,01007,1982,7508,9573
AL,01009,2627,24595,27459
AL,01011,3439,1143,4603
AL,01013,3953,5448,9466
AL,01015,15118,34964,50743
AL,01017,6356,8748,15269
AL,01019,1619,10562,12275
AL,01021,3056,16052,19260
AL,01023,3126,4294,7461
AL,01025,5730,7310,13102
AL,01027,1262,5589,6913
AL,01029,672,6472,7210
AL,01031,5050,16832,22180
AL,01033,7057,17311,24668
AL,01035,2951,3435,6419
AL,01037,1794,3626,5472
AL,01039,2717,14579,17418
AL,01041,1700,4864,6617
AL,01043,4454,36804,41751
AL,01045,5154,14281,19699
AL,01047,12228,5523,17861
AL,01049,4271,24744,29322
AL,01051,10304,30089,40891
AL,01053,4894,10844,15861
AL,01055,11487,35343,47460
AL,01057,1390,7295,8756
AL,01059,2085,10364,12564
AL,01061,1592,10844,12538
AL,01063,3880,875,4771
AL,01065,4687,3190,7922
AL,01067,2589,6593,9266
AL,01069,12738,32384,45750
AL,01071,3709,19644,23602
AL,01073,180936,138443,324675
AL,01075,978,6168,7187
AL,01077,11872,31578,44149
AL,01079,3544,12266,15957
AL,01081,27600,42019,70980
AL,01083,13510,34337,48754
AL,01085,4968,1835,6830
AL,01087,7084,1539,8697
AL,01089,86885,102395,193955
AL,01091,5476,5337,10882
AL,01093,1457,12190,13786
AL,01095,5880,33094,39492
AL,01097,78754,100605,181783
AL,01099,4425,6129,10620
AL,01101,64065,33122,98476
AL,01103,13159,39504,53482
AL,01105,3849,1336,5215
AL,01107,4017,5590,9659
AL,01109,5613,8020,13796
AL,01111,2203,8548,10824
AL,01113,11078,9796,21108
AL,01115,7698,36119,44346
AL,01117,33036,79428,114439
AL,01119,4639,1598,6282
AL,01121,13092,22210,35591
AL,01123,5815,14905,20888
AL,01125,37514,50961,89760
AL,01127,4826,25947,31106
AL,01129,2253,6554,8861
AL,01131,4036,1826,5884
AL,01133,974,10187,11273
AK,02702,2048,3570,5967
AK,02703,1813,5776,7960
AK,02704,5769,4660,10893
AK,02705,4012,3862,8217
AK,02706,2957,5198,8521
AK,02707,2029,6416,8773
AK,02708,1797,6874,8957
AK,02709,2552,7203,10153
AK,02710,2462,7106,9911
AK,02711,2897,6497,9740
AK,02712,2680,7119,10131
AK,02713,806,2385,3377
AK,02714,1120,3306,4626
AK,02715,2199,2238,4642
AK,02716,3826,3155,7256
AK,02717,1816,1823,3802
AK,02718,2047,1805,3997
AK,02719,2771,1723,4670
AK,02720,4423,2070,6669
AK,02721,4974,3355,8607
AK,02722,1937,3288,5387
AK,02723,3433,3288,6955
AK,02724,2032,3720,5923
AK,02725,4213,3945,8430
AK,02726,1938,3595,5715
AK,02727,1986,3000,5198
AK,02728,2549,4120,6863
AK,02729,2360,6150,8744
AK,02730,723,3823,4747
AK,02731,1261,3913,5381
AK,02732,1286,2548,4045
AK,02733,3380,1951,5545
AK,02734,5356,4197,9926
AK,02735,1514,2429,4090
AK,02736,1642,3251,5117
AK,02737,1486,1492,3123
AK,02738,2176,1327,3800
AK,02739,2939,1553,4812
AK,02740,1508,1506,3249
AZ,04001,22730,11240,34397
AZ,04003,22997,33580,57672
AZ,04005,44609,27043,73174
AZ,04007,8943,18377,27662
AZ,04009,4034,10747,14993
AZ,04011,1182,2433,3685
