FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,TOTADH,TOTCNG,TOTRATE,MPRTRATE,CATHRATE,EVANRATE,BPRTRATE,ABCRATE,AGRATE,AMERATE,BAHRATE,CCCCRATE,CCDCRATE,CGCTRATE,CHCHRATE,ECRATE,ELCARATE,LCMSRATE,LDSRATE,NAZRATE,NONDRATE,PCRATE,SBCRATE,SDACRATE,UCCRATE,UMCRATE
1,1,Aleutians East,Alaska,2,13,2013,3129.00,741.00,8.00,235.91,.,.,42.66,.,.,.,.,2.55,.,.,.,.,.,.,.,.,.,.,.,14.00,.,.,.
2,1201,Traill,North Dakota,38,97,38097,8154.00,6105.00,31.00,751.75,606.08,80.29,64.89,.,.,.,.,0.49,.,.,.,.,.,580.72,31.03,.,.,.,.,.,.,18.72,6.65
3,1202,Walsh,North Dakota,38,99,38099,11037.00,8320.00,41.00,748.27,388.07,298.59,61.52,.,.,7.64,.,0.09,.,.,.,.,.,358.94,20.15,.,.,12.59,21.67,.,.,.,7.46
4,2,Aleutians West,Alaska,2,16,2016,5609.00,1365.00,12.00,245.46,14.75,33.27,41.72,.,.,1.26,.,1.08,.,.,.,.,.,.,.,19.06,.,40.46,.,.,.,.,14.75
5,1203,Ward,North Dakota,38,101,38101,75147.00,32697.00,89.00,530.15,184.32,185.57,139.81,.,6.39,18.40,.,0.47,.,.,6.65,3.40,1.39,147.69,43.05,18.68,6.36,10.96,5.61,4.00,2.93,4.18,19.05
6,3,Anchorage,Alaska,2,20,2020,303152.00,102804.00,326.00,352.28,39.16,78.71,153.10,3.87,5.09,15.87,.,1.31,8.31,0.66,3.88,3.57,5.60,11.42,3.91,47.52,2.96,59.64,4.63,31.00,6.12,0.26,9.72
7,1204,Wells,North Dakota,38,103,38103,4218.00,3690.00,29.00,877.11,362.49,231.28,283.34,.,.,12.36,.,.,.,.,.,.,.,343.00,24.96,.,7.61,1.66,.,14.00,76.78,.,19.49
8,4,Bethel,Alaska,2,50,2050,17646.00,9011.00,55.00,529.65,130.25,190.68,29.45,.,.,4.11,.,1.53,.,.,.,.,.,2.17,.,10.11,.,8.82,.,.,1.18,.,.
9,1205,Williams,North Dakota,38,105,38105,40962.00,12897.00,51.00,575.81,285.83,145.01,114.56,.,.,14.20,.,0.09,.,.,3.26,2.46,4.02,267.08,13.26,30.32,3.57,12.86,.,8.00,.,.,14.73
10,1206,Baker,Oregon,41,1,41001,16332.00,5084.00,38.00,315.11,36.88,74.13,110.20,.,.,21.14,.,1.49,21.88,.,.,2.73,6.45,.,.,84.48,35.58,5.45,12.71,1.00,13.51,.,17.73
11,1207,Morrow,Oregon,41,49,41049,11766.00,5419.00,27.00,485.01,59.16,276.02,78.76,.,1.16,24.79,.,0.81,10.83,7.79,.,.,9.49,7.97,.,70.26,3.40,11.81,.,6.00,12.53,8.14,13.34
12,1208,Umatilla,Oregon,41,59,41059,77951.00,29900.00,122.00,394.00,47.11,150.25,129.35,.,8.80,24.94,.,1.59,9.22,4.12,4.03,1.54,3.91,11.12,2.48,62.57,5.15,6.67,8.59,6.00,44.97,.,8.89
13,1209,Union,Oregon,41,61,41061,26421.00,7911.00,49.00,307.25,43.30,48.82,122.49,.,.,10.53,.,1.44,8.93,13.05,.,2.72,3.42,4.78,5.40,91.19,20.08,30.41,8.51,9.00,17.79,.,13.55
14,1210,Wallowa,Oregon,41,63,41063,7202.00,1976.00,25.00,281.96,53.80,35.67,126.57,.,.,28.82,.,3.85,54.22,.,.,5.71,4.00,4.14,.,47.09,5.14,12.56,8.99,.,20.12,14.41,22.26
15,1211,Brown,South Dakota,46,13,46013,39737.00,28151.00,74.00,770.61,322.52,233.86,202.57,.,24.01,18.18,.,0.19,.,.,0.85,0.68,3.56,207.25,84.26,10.81,2.19,13.69,8.92,1.00,3.09,17.71,61.07
16,1212,Butte,South Dakota,46,19,46019,10342.00,3591.00,19.00,355.19,173.49,77.55,61.92,.,18.40,2.37,.,.,.,.,.,.,4.85,99.21,.,42.24,.,46.88,.,5.00,.,19.98,31.06
