Name,rt_mean_173
Alabama,1.0147737
Alaska,1.1713346
Arizona,1.2506574
Arkansas,1.107327
California,1.042872
Colorado,.898233
Connecticut,.72425491
Delaware,.94270605
District of Columbia,.68571067
Florida,1.3668815
Georgia,1.072335
Hawaii,1.5747244
Idaho,1.1963007
Illinois,.7869423
Indiana,.85407084
Iowa,1.0136566
Kansas,.906757
Kentucky,1.0050149
Louisiana,1.0514529
Maine,.85868216
Maryland,.80762255
Massachusetts,.66903138
Michigan,1.1141002
Minnesota,.83702081
Mississippi,1.0889045
Missouri,1.2515602
Montana,1.5243356
Nebraska,.86346859
Nevada,1.4104753
New Hampshire,.92936891
New Jersey,.77707326
New Mexico,1.0010061
New York,.84335828
North Carolina,1.0620544
North Dakota,.85849613
Ohio,.9563756
Oklahoma,1.4778627
Oregon,1.3538491
Pennsylvania,.86138004
Rhode Island,.77976286
South Carolina,1.2224176
South Dakota,1.1212536
Tennessee,1.0796161
Texas,1.1370742
Utah,1.1201067
Vermont,1.0267903
Virginia,.76192635
Washington,1.009467
West Virginia,1.0558585
Wisconsin,1.0295296
Wyoming,1.1568795
