Name,rt_mean_
Massachusetts,.80998707
Mississippi,1.1871587
Hawaii,1.3541793
Rhode Island,.85848516
Tennessee,1.1800822
District of Columbia,.76920545
New Hampshire,.8971808
Arizona,1.1843343
Nevada,1.638064
Delaware,.97316509
Maryland,.88978601
North Dakota,.92651522
New Mexico,1.0625036
Oregon,1.2481711
Wyoming,1.3361447
West Virginia,1.1247571
Vermont,1.0817076
Utah,1.1071107
North Carolina,1.0242429
Arkansas,1.0686357
Missouri,1.2118191
Wisconsin,1.2211957
Louisiana,1.1417767
Minnesota,.99011695
California,1.1291362
Idaho,1.3416642
Illinois,.88514268
Nebraska,.93056774
Ohio,1.0585668
Montana,1.4131402
New Jersey,.85658354
Maine,.92332131
Kansas,1.0709577
South Carolina,1.2134516
Pennsylvania,1.0223839
Florida,1.3977717
Iowa,1.0181777
Alaska,.9849624
Indiana,.91514909
Washington,1.133518
Alabama,1.0541104
South Dakota,1.1578556
Colorado,1.0148022
Oklahoma,1.3286136
Connecticut,.77379572
Kentucky,.9946295
Virginia,.85337853
Georgia,1.1519696
Texas,1.2497268
New York,1.0019093
Michigan,1.2165809
